instance,algorithm,run,elapsed_ns,macroitems
binary_n1000_seed0.pcf,hfma,0,2643995,407
binary_n1000_seed0.pcf,rac,0,5198660,407
binary_n1000_seed0.pcf,hfma,1,1711515,407
binary_n1000_seed0.pcf,rac,1,3630444,407
binary_n1000_seed0.pcf,hfma,2,1691267,407
binary_n1000_seed0.pcf,rac,2,3310991,407
binary_n1000_seed0.pcf,hfma,3,1718167,407
binary_n1000_seed0.pcf,rac,3,3312699,407
binary_n1000_seed0.pcf,hfma,4,1698587,407
binary_n1000_seed0.pcf,rac,4,3344089,407
binary_n1000_seed1.pcf,hfma,0,1697269,380
binary_n1000_seed1.pcf,rac,0,3716149,380
binary_n1000_seed1.pcf,hfma,1,1638178,380
binary_n1000_seed1.pcf,rac,1,3481671,380
binary_n1000_seed1.pcf,hfma,2,1599505,380
binary_n1000_seed1.pcf,rac,2,3196709,380
binary_n1000_seed1.pcf,hfma,3,1575916,380
binary_n1000_seed1.pcf,rac,3,3084480,380
binary_n1000_seed1.pcf,hfma,4,1558893,380
binary_n1000_seed1.pcf,rac,4,3115496,380
binary_n1000_seed2.pcf,hfma,0,1635782,403
binary_n1000_seed2.pcf,rac,0,3617057,403
binary_n1000_seed2.pcf,hfma,1,1595301,403
binary_n1000_seed2.pcf,rac,1,3411190,403
binary_n1000_seed2.pcf,hfma,2,1568911,403
binary_n1000_seed2.pcf,rac,2,3166855,403
binary_n1000_seed2.pcf,hfma,3,1626291,403
binary_n1000_seed2.pcf,rac,3,3172585,403
binary_n1000_seed2.pcf,hfma,4,1591491,403
binary_n1000_seed2.pcf,rac,4,3168287,403
binary_n100_seed0.pcf,hfma,0,156488,43
binary_n100_seed0.pcf,rac,0,346693,43
binary_n100_seed0.pcf,hfma,1,146978,43
binary_n100_seed0.pcf,rac,1,310951,43
binary_n100_seed0.pcf,hfma,2,145887,43
binary_n100_seed0.pcf,rac,2,301786,43
binary_n100_seed0.pcf,hfma,3,141534,43
binary_n100_seed0.pcf,rac,3,296838,43
binary_n100_seed0.pcf,hfma,4,139288,43
binary_n100_seed0.pcf,rac,4,312801,43
binary_n100_seed1.pcf,hfma,0,214916,45
binary_n100_seed1.pcf,rac,0,544637,45
binary_n100_seed1.pcf,hfma,1,195110,45
binary_n100_seed1.pcf,rac,1,479058,45
binary_n100_seed1.pcf,hfma,2,191658,45
binary_n100_seed1.pcf,rac,2,462072,45
binary_n100_seed1.pcf,hfma,3,186443,45
binary_n100_seed1.pcf,rac,3,452560,45
binary_n100_seed1.pcf,hfma,4,191796,45
binary_n100_seed1.pcf,rac,4,451360,45
binary_n100_seed2.pcf,hfma,0,185170,44
binary_n100_seed2.pcf,rac,0,572449,44
binary_n100_seed2.pcf,hfma,1,164658,44
binary_n100_seed2.pcf,rac,1,491804,44
binary_n100_seed2.pcf,hfma,2,160746,44
