instance,algorithm,run,elapsed_ns,macroitems
binary_n1000_seed0.pcf,hfma,0,2273212,407
binary_n1000_seed0.pcf,dhfma,0,1858518,407
binary_n1000_seed0.pcf,hfma,1,1676247,407
binary_n1000_seed0.pcf,dhfma,1,1829875,407
binary_n1000_seed0.pcf,hfma,2,1713669,407
binary_n1000_seed0.pcf,dhfma,2,1845930,407
binary_n1000_seed0.pcf,hfma,3,1688374,407
binary_n1000_seed0.pcf,dhfma,3,1838599,407
binary_n1000_seed0.pcf,hfma,4,1696504,407
binary_n1000_seed0.pcf,dhfma,4,1839352,407
binary_n1000_seed1.pcf,hfma,0,2512701,380
binary_n1000_seed1.pcf,dhfma,0,1690887,380
binary_n1000_seed1.pcf,hfma,1,1614597,380
binary_n1000_seed1.pcf,dhfma,1,1656582,380
binary_n1000_seed1.pcf,hfma,2,1618288,380
binary_n1000_seed1.pcf,dhfma,2,1684011,380
binary_n1000_seed1.pcf,hfma,3,1618253,380
binary_n1000_seed1.pcf,dhfma,3,1679817,380
binary_n1000_seed1.pcf,hfma,4,1642465,380
binary_n1000_seed1.pcf,dhfma,4,1650307,380
binary_n1000_seed2.pcf,hfma,0,2599690,403
binary_n1000_seed2.pcf,dhfma,0,2478911,403
binary_n1000_seed2.pcf,hfma,1,1654597,403
binary_n1000_seed2.pcf,dhfma,1,1787034,403
binary_n1000_seed2.pcf,hfma,2,1618800,403
binary_n1000_seed2.pcf,dhfma,2,1798021,403
binary_n1000_seed2.pcf,hfma,3,1642378,403
binary_n1000_seed2.pcf,dhfma,3,1780599,403
binary_n1000_seed2.pcf,hfma,4,1613898,403
binary_n1000_seed2.pcf,dhfma,4,1783232,403
binary_n100_seed0.pcf,hfma,0,247216,43
binary_n100_seed0.pcf,dhfma,0,218251,43
binary_n100_seed0.pcf,hfma,1,205141,43
binary_n100_seed0.pcf,dhfma,1,204680,43
binary_n100_seed0.pcf,hfma,2,197734,43
binary_n100_seed0.pcf,dhfma,2,209552,43
binary_n100_seed0.pcf,hfma,3,198563,43
binary_n100_seed0.pcf,dhfma,3,202355,43
binary_n100_seed0.pcf,hfma,4,197252,43
binary_n100_seed0.pcf,dhfma,4,200678,43
binary_n100_seed1.pcf,hfma,0,232097,45
binary_n100_seed1.pcf,dhfma,0,225786,45
binary_n100_seed1.pcf,hfma,1,200834,45
binary_n100_seed1.pcf,dhfma,1,212952,45
binary_n100_seed1.pcf,hfma,2,193014,45
binary_n100_seed1.pcf,dhfma,2,209493,45
binary_n100_seed1.pcf,hfma,3,191286,45
binary_n100_seed1.pcf,dhfma,3,212542,45
binary_n100_seed1.pcf,hfma,4,193986,45
binary_n100_seed1.pcf,dhfma,4,206182,45
binary_n100_seed2.pcf,hfma,0,198359,44
binary_n100_seed2.pcf,dhfma,0,208796,44
binary_n100_seed2.pcf,hfma,1,179655,44
binary_n100_seed2.pcf,dhfma,1,194511,44
binary_n100_seed2.pcf,hfma,2,177882,44
binary_n100_seed2.pcf,dhfma,2,191832,44
binary_n100_seed2.pcf,hfma,3,207099,44
binary_n100_seed2.pcf,dhfma,3,134320,44
binary_n100_seed2.pcf,hfma,4,120668,44
binary_n100_seed2.pcf,dhfma,4,119179,44
binary_n2000_seed0.pcf,hfma,0,4543195,760
binary_n2000_seed0.pcf,dhfma,0,3785393,760
binary_n2000_seed0.pcf,hfma,1,3654956,760
binary_n2000_seed0.pcf,dhfma,1,3748729,760
binary_n2000_seed0.pcf,hfma,2,3704476,760
