instance,algorithm,run,elapsed_ns,macroitems
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,0,698253,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,dhfma,0,864780,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,1,678589,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,dhfma,1,889701,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,2,778520,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,dhfma,2,1009584,697
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,0,1259484,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,dhfma,0,1645419,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,1,1138085,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,dhfma,1,1264072,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,2,1085475,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,dhfma,2,1179963,706
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,0,1772447,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,dhfma,0,1729579,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,1,1179974,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,dhfma,1,1249165,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,2,742432,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,dhfma,2,816594,688
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,hfma,0,705569,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,dhfma,0,923408,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,hfma,1,764139,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,dhfma,1,991206,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,hfma,2,912333,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,dhfma,2,1250034,708
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,hfma,0,1435204,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,dhfma,0,1419787,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,hfma,1,957519,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,dhfma,1,1036339,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,hfma,2,751003,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,dhfma,2,792805,686
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,hfma,0,462273,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,dhfma,0,560614,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,hfma,1,460194,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,dhfma,1,573706,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,hfma,2,505192,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,dhfma,2,679217,671
random_n1000_rho0.3_strongly-corr-neg_seed6.pcf,hfma,0,666702,693
random_n1000_rho0.3_strongly-corr-neg_seed6.pcf,dhfma,0,865317,693
random_n1000_rho0.3_strongly-corr-neg_seed6.pcf,hfma,1,683810,693
