instance,algorithm,run,elapsed_ns,macroitems
path_n1000_seed0.pcf,hfma,0,1398625,518
path_n1000_seed0.pcf,rac,0,7892337,518
path_n1000_seed0.pcf,hfma,1,593092,518
path_n1000_seed0.pcf,rac,1,5057902,518
path_n1000_seed0.pcf,hfma,2,572572,518
path_n1000_seed0.pcf,rac,2,4919896,518
path_n1000_seed0.pcf,hfma,3,582447,518
path_n1000_seed0.pcf,rac,3,4972837,518
path_n1000_seed0.pcf,hfma,4,594808,518
path_n1000_seed0.pcf,rac,4,5022685,518
path_n1000_seed1.pcf,hfma,0,601147,503
path_n1000_seed1.pcf,rac,0,5531035,503
path_n1000_seed1.pcf,hfma,1,586910,503
path_n1000_seed1.pcf,rac,1,5190850,503
path_n1000_seed1.pcf,hfma,2,590702,503
path_n1000_seed1.pcf,rac,2,5065486,503
path_n1000_seed1.pcf,hfma,3,590888,503
path_n1000_seed1.pcf,rac,3,5012260,503
path_n1000_seed1.pcf,hfma,4,587341,503
path_n1000_seed1.pcf,rac,4,5040921,503
path_n1000_seed2.pcf,hfma,0,607350,502
path_n1000_seed2.pcf,rac,0,5470711,502
path_n1000_seed2.pcf,hfma,1,581045,502
path_n1000_seed2.pcf,rac,1,5049365,502
path_n1000_seed2.pcf,hfma,2,581331,502
path_n1000_seed2.pcf,rac,2,4874292,502
path_n1000_seed2.pcf,hfma,3,581825,502
path_n1000_seed2.pcf,rac,3,5049247,502
path_n1000_seed2.pcf,hfma,4,584009,502
path_n1000_seed2.pcf,rac,4,4897865,502
path_n100_seed0.pcf,hfma,0,91210,57
path_n100_seed0.pcf,rac,0,709346,57
path_n100_seed0.pcf,hfma,1,80226,57
path_n100_seed0.pcf,rac,1,646678,57
path_n100_seed0.pcf,hfma,2,78785,57
path_n100_seed0.pcf,rac,2,611149,57
path_n100_seed0.pcf,hfma,3,77713,57
path_n100_seed0.pcf,rac,3,603701,57
path_n100_seed0.pcf,hfma,4,120375,57
path_n100_seed0.pcf,rac,4,415616,57
path_n100_seed1.pcf,hfma,0,88747,59
path_n100_seed1.pcf,rac,0,719129,59
path_n100_seed1.pcf,hfma,1,78663,59
path_n100_seed1.pcf,rac,1,649095,59
path_n100_seed1.pcf,hfma,2,77706,59
path_n100_seed1.pcf,rac,2,637164,59
path_n100_seed1.pcf,hfma,3,75816,59
path_n100_seed1.pcf,rac,3,611703,59
path_n100_seed1.pcf,hfma,4,75153,59
path_n100_seed1.pcf,rac,4,612734,59
path_n100_seed2.pcf,hfma,0,158533,57
path_n100_seed2.pcf,rac,0,1316461,57
path_n100_seed2.pcf,hfma,1,162892,57
path_n100_seed2.pcf,rac,1,960258,57
path_n100_seed2.pcf,hfma,2,139963,57
path_n100_seed2.pcf,rac,2,858380,57
path_n100_seed2.pcf,hfma,3,138906,57
path_n100_seed2.pcf,rac,3,930551,57
path_n100_seed2.pcf,hfma,4,134871,57
path_n100_seed2.pcf,rac,4,988325,57
path_n2000_seed0.pcf,hfma,0,4508361,930
path_n2000_seed0.pcf,rac,0,24260727,930
path_n2000_seed0.pcf,hfma,1,1222807,930
path_n2000_seed0.pcf,rac,1,10832245,930
path_n2000_seed0.pcf,hfma,2,1218939,930
path_n2000_seed0.pcf,rac,2,10659519,930
path_n2000_seed0.pcf,hfma,3,1218246,930
path_n2000_seed0.pcf,rac,3,10599241,930
path_n2000_seed0.pcf,hfma,4,1209352,930
path_n2000_seed0.pcf,rac,4,10679962,930
path_n2000_seed1.pcf,hfma,0,1257462,922
path_n2000_seed1.pcf,rac,0,11512053,922
path_n2000_seed1.pcf,hfma,1,1216559,922
path_n2000_seed1.pcf,rac,1,10879696,922
path_n2000_seed1.pcf,hfma,2,1218348,922
path_n2000_seed1.pcf,rac,2,10590716,922
path_n2000_seed1.pcf,hfma,3,1206126,922
path_n2000_seed1.pcf,rac,3,10669097,922
path_n2000_seed1.pcf,hfma,4,1216366,922
path_n2000_seed1.pcf,rac,4,10552378,922
path_n2000_seed2.pcf,hfma,0,1227441,926
path_n2000_seed2.pcf,rac,0,11483609,926
path_n2000_seed2.pcf,hfma,1,1201054,926
path_n2000_seed2.pcf,rac,1,10607926,926
path_n2000_seed2.pcf,hfma,2,1171787,926
path_n2000_seed2.pcf,rac,2,10082580,926
path_n2000_seed2.pcf,hfma,3,1189953,926
path_n2000_seed2.pcf,rac,3,10233865,926
path_n2000_seed2.pcf,hfma,4,1150951,926
path_n2000_seed2.pcf,rac,4,10205545,926
path_n200_seed0.pcf,hfma,0,120595,113
path_n200_seed0.pcf,rac,0,960028,113
path_n200_seed0.pcf,hfma,1,125717,113
path_n200_seed0.pcf,rac,1,894204,113
path_n200_seed0.pcf,hfma,2,111686,113
path_n200_seed0.pcf,rac,2,862119,113
path_n200_seed0.pcf,hfma,3,110289,113
path_n200_seed0.pcf,rac,3,867578,113
path_n200_seed0.pcf,hfma,4,111423,113
path_n200_seed0.pcf,rac,4,879393,113
path_n200_seed1.pcf,hfma,0,174342,108
path_n200_seed1.pcf,rac,0,1522968,108
path_n200_seed1.pcf,hfma,1,113551,108
path_n200_seed1.pcf,rac,1,905081,108
path_n200_seed1.pcf,hfma,2,111899,108
path_n200_seed1.pcf,rac,2,894461,108
path_n200_seed1.pcf,hfma,3,110431,108
path_n200_seed1.pcf,rac,3,882676,108
path_n200_seed1.pcf,hfma,4,111679,108
path_n200_seed1.pcf,rac,4,884612,108
path_n200_seed2.pcf,hfma,0,184312,110
path_n200_seed2.pcf,rac,0,1511753,110
path_n200_seed2.pcf,hfma,1,173114,110
path_n200_seed2.pcf,rac,1,1568120,110
path_n200_seed2.pcf,hfma,2,194151,110
path_n200_seed2.pcf,rac,2,1781236,110
path_n200_seed2.pcf,hfma,3,168070,110
path_n200_seed2.pcf,rac,3,1227978,110
path_n200_seed2.pcf,hfma,4,156874,110
path_n200_seed2.pcf,rac,4,1065813,110
path_n500_seed0.pcf,hfma,0,527288,275
path_n500_seed0.pcf,rac,0,5690467,275
path_n500_seed0.pcf,hfma,1,578524,275
path_n500_seed0.pcf,rac,1,5985869,275
path_n500_seed0.pcf,hfma,2,727064,275
path_n500_seed0.pcf,rac,2,5047652,275
path_n500_seed0.pcf,hfma,3,660393,275
path_n500_seed0.pcf,rac,3,4843689,275
path_n500_seed0.pcf,hfma,4,469554,275
path_n500_seed0.pcf,rac,4,3144019,275
path_n500_seed1.pcf,hfma,0,530846,263
path_n500_seed1.pcf,rac,0,6556475,263
path_n500_seed1.pcf,hfma,1,612582,263
path_n500_seed1.pcf,rac,1,3908406,263
path_n500_seed1.pcf,hfma,2,369956,263
path_n500_seed1.pcf,rac,2,2591424,263
path_n500_seed1.pcf,hfma,3,278500,263
path_n500_seed1.pcf,rac,3,2337453,263
path_n500_seed1.pcf,hfma,4,289782,263
path_n500_seed1.pcf,rac,4,2344020,263
path_n500_seed2.pcf,hfma,0,481483,263
path_n500_seed2.pcf,rac,0,4346673,263
path_n500_seed2.pcf,hfma,1,421037,263
path_n500_seed2.pcf,rac,1,2519930,263
path_n500_seed2.pcf,hfma,2,298813,263
path_n500_seed2.pcf,rac,2,2365405,263
path_n500_seed2.pcf,hfma,3,295199,263
path_n500_seed2.pcf,rac,3,2377724,263
path_n500_seed2.pcf,hfma,4,301127,263
path_n500_seed2.pcf,rac,4,2368087,263
