campaign_id,instance,algorithm,repetition,order,elapsed_ns,n_layers,n_breakpoints,sequence_hash,peak_rss_kib,git_commit,timestamp_utc,n_nodes,n_arcs,n_components,rac_clusters,rac_joins,rac_internalizations,rac_envelope_sum_calls,rac_envelope_max_calls,rac_hull_calls,rac_lines_scanned,rac_line_comparisons,rac_rational_comparisons,rac_pieces_stored,rac_topdown_events,rac_topdown_scans,rac_expanded_vertices,rac_expanded_edges,rac_rounds,rac_max_cluster_depth,rac_estimated_bytes
campaign_c,gen_n100000_rho0.3_anti-correlated_seed0.pcf,dhfma,0,0,99859523,60838,60837,982821025469319865,32124,23f703aa3bc9,2026-08-28T15:34:26Z,100000,29903,70097,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed0.pcf,dhfma,1,0,93630180,60838,60837,982821025469319865,32784,23f703aa3bc9,2026-08-28T15:34:26Z,100000,29903,70097,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed0.pcf,dhfma,2,0,97090758,60838,60837,982821025469319865,34496,23f703aa3bc9,2026-08-28T15:34:26Z,100000,29903,70097,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed1.pcf,dhfma,0,0,101478668,60830,60829,13426637167777272083,32344,23f703aa3bc9,2026-08-28T15:34:27Z,100000,29910,70090,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed1.pcf,dhfma,1,0,97908985,60830,60829,13426637167777272083,34516,23f703aa3bc9,2026-08-28T15:34:27Z,100000,29910,70090,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed1.pcf,dhfma,2,0,95504679,60830,60829,13426637167777272083,35040,23f703aa3bc9,2026-08-28T15:34:27Z,100000,29910,70090,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed2.pcf,dhfma,0,0,99491957,61031,61030,11589624751522901764,32364,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30235,69765,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed2.pcf,dhfma,1,0,98429232,61031,61030,11589624751522901764,32444,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30235,69765,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed2.pcf,dhfma,2,0,97667718,61031,61030,11589624751522901764,33712,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30235,69765,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed3.pcf,dhfma,0,0,101618889,60812,60811,6433356946765198556,32324,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30145,69855,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed3.pcf,dhfma,1,0,94737953,60812,60811,6433356946765198556,34504,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30145,69855,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed3.pcf,dhfma,2,0,94829872,60812,60811,6433356946765198556,35044,23f703aa3bc9,2026-08-28T15:34:27Z,100000,30145,69855,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed4.pcf,dhfma,0,0,103062103,60858,60857,1908731768656970316,32432,23f703aa3bc9,2026-08-28T15:34:28Z,100000,29722,70278,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed4.pcf,dhfma,1,0,101004168,60858,60857,1908731768656970316,33152,23f703aa3bc9,2026-08-28T15:34:28Z,100000,29722,70278,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed4.pcf,dhfma,2,0,98674970,60858,60857,1908731768656970316,33172,23f703aa3bc9,2026-08-28T15:34:28Z,100000,29722,70278,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed5.pcf,dhfma,0,0,103451884,60744,60743,6501772069440963579,32392,23f703aa3bc9,2026-08-28T15:34:28Z,100000,30242,69758,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed5.pcf,dhfma,1,0,102479200,60744,60743,6501772069440963579,34476,23f703aa3bc9,2026-08-28T15:34:28Z,100000,30242,69758,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed5.pcf,dhfma,2,0,98617241,60744,60743,6501772069440963579,34476,23f703aa3bc9,2026-08-28T15:34:28Z,100000,30242,69758,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed6.pcf,dhfma,0,0,103317244,61144,61143,9326627394834594252,32328,23f703aa3bc9,2026-08-28T15:34:28Z,100000,29967,70033,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed6.pcf,dhfma,1,0,97141228,61144,61143,9326627394834594252,34200,23f703aa3bc9,2026-08-28T15:34:28Z,100000,29967,70033,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed6.pcf,dhfma,2,0,98076411,61144,61143,9326627394834594252,34540,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29967,70033,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed7.pcf,dhfma,0,0,101306423,61053,61052,955645403428669471,32440,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29655,70345,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed7.pcf,dhfma,1,0,98869360,61053,61052,955645403428669471,32680,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29655,70345,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed7.pcf,dhfma,2,0,97173334,61053,61052,955645403428669471,32760,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29655,70345,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed8.pcf,dhfma,0,0,102220160,60885,60884,14320608899460767823,32480,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29885,70115,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed8.pcf,dhfma,1,0,100604190,60885,60884,14320608899460767823,34452,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29885,70115,,,,,,,,,,,,,,,,,
campaign_c,gen_n100000_rho0.3_anti-correlated_seed8.pcf,dhfma,2,0,96921756,60885,60884,14320608899460767823,34560,23f703aa3bc9,2026-08-28T15:34:29Z,100000,29885,70115,,,,,,,,,,,,,,,,,
