campaign_id,instance,algorithm,repetition,order,elapsed_ns,n_layers,n_breakpoints,sequence_hash,peak_rss_kib,git_commit,timestamp_utc,n_nodes,n_arcs,n_components,rac_clusters,rac_joins,rac_internalizations,rac_envelope_sum_calls,rac_envelope_max_calls,rac_hull_calls,rac_lines_scanned,rac_line_comparisons,rac_rational_comparisons,rac_pieces_stored,rac_topdown_events,rac_topdown_scans,rac_expanded_vertices,rac_expanded_edges,rac_rounds,rac_max_cluster_depth,rac_estimated_bytes
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,hpac,0,0,214227211,44039,44038,8038660551009484081,35256,2c83e501f034,2026-08-31T19:12:23Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,rac,0,1,718946897,44039,44038,8038660551009484081,221824,2c83e501f034,2026-08-31T19:12:24Z,100000,99999,1,449994,199996,199998,1025006,1225008,612507,6901798,5274005,9558104,3976884,1071619,835370,199998,199997,16,38,163033808
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,rac,1,0,671440361,44039,44038,8038660551009484081,238232,2c83e501f034,2026-08-31T19:12:25Z,100000,99999,1,449994,199996,199998,1025006,1225008,612507,6901798,5274005,9558104,3976884,1071619,835370,199998,199997,16,38,163033808
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,hpac,1,1,204092922,44039,44038,8038660551009484081,238232,2c83e501f034,2026-08-31T19:12:25Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,hpac,2,0,203221465,44039,44038,8038660551009484081,238232,2c83e501f034,2026-08-31T19:12:25Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_binary,binary_n100000_anti-correlated_seed0.pcf,rac,2,1,672083211,44039,44038,8038660551009484081,241092,2c83e501f034,2026-08-31T19:12:26Z,100000,99999,1,449994,199996,199998,1025006,1225008,612507,6901798,5274005,9558104,3976884,1071619,835370,199998,199997,16,38,163033808
campaign_d_binary,binary_n100000_anti-correlated_seed1.pcf,hpac,0,0,211181443,43957,43956,11795072004787715419,35268,2c83e501f034,2026-08-31T19:12:26Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_binary,binary_n100000_anti-correlated_seed1.pcf,rac,0,1,701129470,43957,43956,11795072004787715419,221824,2c83e501f034,2026-08-31T19:12:27Z,100000,99999,1,449994,199996,199998,1025006,1225008,612504,6847216,5251721,9511767,3967629,1069220,815205,199998,199997,16,38,162830976
campaign_d_binary,binary_n100000_anti-correlated_seed1.pcf,rac,1,0,669839441,43957,43956,11795072004787715419,238504,2c83e501f034,2026-08-31T19:12:28Z,100000,99999,1,449994,199996,199998,1025006,1225008,612504,6847216,5251721,9511767,3967629,1069220,815205,199998,199997,16,38,162830976
campaign_d_binary,binary_n100000_anti-correlated_seed1.pcf,hpac,1,1,206290748,43957,43956,11795072004787715419,238504,2c83e501f034,2026-08-31T19:12:28Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_binary,binary_n100000_anti-correlated_seed1.pcf,hpac,2,0,204715593,43957,43956,11795072004787715419,238504,2c83e501f034,2026-08-31T19:12:28Z,100000,99999,1,,,,,,,,,,,,,,,,,
