campaign_id,instance,algorithm,repetition,order,elapsed_ns,n_layers,n_breakpoints,sequence_hash,peak_rss_kib,git_commit,timestamp_utc,n_nodes,n_arcs,n_components,rac_clusters,rac_joins,rac_internalizations,rac_envelope_sum_calls,rac_envelope_max_calls,rac_hull_calls,rac_lines_scanned,rac_line_comparisons,rac_rational_comparisons,rac_pieces_stored,rac_topdown_events,rac_topdown_scans,rac_expanded_vertices,rac_expanded_edges,rac_rounds,rac_max_cluster_depth,rac_estimated_bytes
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,hfma,0,0,139618632,45394,45393,4108392315059424238,31120,23f703aa3bc9,2026-08-28T14:26:58Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,rac,0,1,932193157,45394,45393,4108392315059424238,236020,23f703aa3bc9,2026-08-28T14:26:59Z,100000,99999,1,399996,199996,199998,1599834,1599844,1072184,13784706,11718811,20894989,3893340,1159177,889209,199998,199997,17,20,188863888
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,rac,1,0,879010330,45394,45393,4108392315059424238,259700,23f703aa3bc9,2026-08-28T14:27:00Z,100000,99999,1,399996,199996,199998,1599834,1599844,1072184,13784706,11718811,20894989,3893340,1159177,889209,199998,199997,17,20,188863888
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,hfma,1,1,114990561,45394,45393,4108392315059424238,259700,23f703aa3bc9,2026-08-28T14:27:00Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,hfma,2,0,113348435,45394,45393,4108392315059424238,259700,23f703aa3bc9,2026-08-28T14:27:00Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_path,path_n100000_anti-correlated_seed0.pcf,rac,2,1,879723946,45394,45393,4108392315059424238,269128,23f703aa3bc9,2026-08-28T14:27:01Z,100000,99999,1,399996,199996,199998,1599834,1599844,1072184,13784706,11718811,20894989,3893340,1159177,889209,199998,199997,17,20,188863888
campaign_d_path,path_n100000_anti-correlated_seed1.pcf,hfma,0,0,126374523,45350,45349,5754590666759452706,31120,23f703aa3bc9,2026-08-28T14:27:01Z,100000,99999,1,,,,,,,,,,,,,,,,,
campaign_d_path,path_n100000_anti-correlated_seed1.pcf,rac,0,1,911081288,45350,45349,5754590666759452706,235076,23f703aa3bc9,2026-08-28T14:27:02Z,100000,99999,1,399996,199996,199998,1599834,1599844,1071609,13736196,11670940,20815760,3883030,1156262,858629,199998,199997,17,20,188554144
campaign_d_path,path_n100000_anti-correlated_seed1.pcf,rac,1,0,872371910,45350,45349,5754590666759452706,255388,23f703aa3bc9,2026-08-28T14:27:03Z,100000,99999,1,399996,199996,199998,1599834,1599844,1071609,13736196,11670940,20815760,3883030,1156262,858629,199998,199997,17,20,188554144
campaign_d_path,path_n100000_anti-correlated_seed1.pcf,hfma,1,1,115690796,45350,45349,5754590666759452706,255388,23f703aa3bc9,2026-08-28T14:27:03Z,100000,99999,1,,,,,,,,,,,,,,,,,
