instance,reason
star_n100000_anti-correlated_seed0.pcf,oom
star_n100000_anti-correlated_seed1.pcf,oom
star_n100000_anti-correlated_seed2.pcf,oom
star_n100000_anti-correlated_seed3.pcf,oom
star_n100000_anti-correlated_seed4.pcf,oom
star_n100000_anti-correlated_seed5.pcf,oom
star_n100000_anti-correlated_seed6.pcf,oom
star_n100000_anti-correlated_seed7.pcf,oom
star_n100000_anti-correlated_seed8.pcf,oom
star_n100000_anti-correlated_seed9.pcf,oom
star_n100000_correlated_seed0.pcf,oom
star_n100000_correlated_seed1.pcf,oom
star_n100000_correlated_seed2.pcf,oom
star_n100000_correlated_seed3.pcf,oom
star_n100000_correlated_seed4.pcf,oom
star_n100000_correlated_seed5.pcf,oom
star_n100000_correlated_seed6.pcf,oom
star_n100000_correlated_seed7.pcf,oom
star_n100000_correlated_seed8.pcf,oom
star_n100000_correlated_seed9.pcf,oom
star_n100000_exact-ties_seed0.pcf,oom
star_n100000_exact-ties_seed1.pcf,oom
star_n100000_exact-ties_seed2.pcf,oom
star_n100000_exact-ties_seed3.pcf,oom
star_n100000_exact-ties_seed4.pcf,oom
star_n100000_exact-ties_seed5.pcf,oom
star_n100000_exact-ties_seed6.pcf,oom
star_n100000_exact-ties_seed7.pcf,oom
star_n100000_exact-ties_seed8.pcf,oom
star_n100000_exact-ties_seed9.pcf,oom
star_n100000_independent-positive_seed0.pcf,oom
star_n100000_independent-positive_seed1.pcf,oom
star_n100000_independent-positive_seed2.pcf,oom
star_n100000_independent-positive_seed3.pcf,oom
star_n100000_independent-positive_seed4.pcf,oom
star_n100000_independent-positive_seed5.pcf,oom
star_n100000_independent-positive_seed6.pcf,oom
star_n100000_independent-positive_seed7.pcf,oom
star_n100000_independent-positive_seed8.pcf,oom
star_n100000_independent-positive_seed9.pcf,oom
star_n100000_independent-signed_seed0.pcf,oom
star_n100000_independent-signed_seed1.pcf,oom
star_n100000_independent-signed_seed2.pcf,oom
star_n100000_independent-signed_seed3.pcf,oom
star_n100000_independent-signed_seed4.pcf,oom
star_n100000_independent-signed_seed5.pcf,oom
star_n100000_independent-signed_seed6.pcf,oom
star_n100000_independent-signed_seed7.pcf,oom
star_n100000_independent-signed_seed8.pcf,oom
star_n100000_independent-signed_seed9.pcf,oom
star_n100000_near-ties_seed0.pcf,oom
star_n100000_near-ties_seed1.pcf,oom
star_n100000_near-ties_seed2.pcf,oom
star_n100000_near-ties_seed3.pcf,oom
