campaign_id,instance,algorithm,repetition,order,elapsed_ns,n_layers,n_breakpoints,sequence_hash,peak_rss_kib,git_commit,timestamp_utc,n_nodes,n_arcs,n_components,rac_clusters,rac_joins,rac_internalizations,rac_envelope_sum_calls,rac_envelope_max_calls,rac_hull_calls,rac_lines_scanned,rac_line_comparisons,rac_rational_comparisons,rac_pieces_stored,rac_topdown_events,rac_topdown_scans,rac_expanded_vertices,rac_expanded_edges,rac_rounds,rac_max_cluster_depth,rac_estimated_bytes
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hpac,0,0,65180339,60862,60861,1303490027582715655,24252,2c83e501f034,2026-08-31T19:06:32Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hipac,0,1,79989628,60862,60861,1303490027582715655,35864,2c83e501f034,2026-08-31T19:06:32Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,rac,0,2,1180433163,60862,60861,1303490027582715655,58580,2c83e501f034,2026-08-31T19:06:34Z,100000,30018,69982,113107,27682,60036,124258,258168,112198,350609,62165,276525,349304,92382,116746,60036,43859,23445,14,27887088
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hpac,1,0,56476940,60862,60861,1303490027582715655,58580,2c83e501f034,2026-08-31T19:06:34Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hipac,1,1,73240272,60862,60861,1303490027582715655,58580,2c83e501f034,2026-08-31T19:06:34Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,rac,1,2,1160408509,60862,60861,1303490027582715655,65072,2c83e501f034,2026-08-31T19:06:35Z,100000,30018,69982,113107,27682,60036,124258,258168,112198,350609,62165,276525,349304,92382,116746,60036,43859,23445,14,27887088
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,rac,2,0,1151727411,60862,60861,1303490027582715655,65072,2c83e501f034,2026-08-31T19:06:36Z,100000,30018,69982,113107,27682,60036,124258,258168,112198,350609,62165,276525,349304,92382,116746,60036,43859,23445,14,27887088
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hipac,2,1,70329712,60862,60861,1303490027582715655,65072,2c83e501f034,2026-08-31T19:06:36Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed0.pcf,hpac,2,2,57739382,60862,60861,1303490027582715655,65072,2c83e501f034,2026-08-31T19:06:36Z,100000,30018,69982,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed1.pcf,hpac,0,0,58322583,60887,60886,13136556644676448085,24600,2c83e501f034,2026-08-31T19:06:36Z,100000,29979,70021,,,,,,,,,,,,,,,,,
campaign_e_in,in_n100000_rho0.3_anti-correlated_seed1.pcf,hipac,0,1,76626288,60887,60886,13136556644676448085,35976,2c83e501f034,2026-08-31T19:06:36Z,100000,29979,70021,,,,,,,,,,,,,,,,,
