instance,n_nodes,n_breakpoints_sampled,hfma_median_ns,rac_median_ns,bppf_median_total_ns,bppf_mismatches
gen_n1000_rho0.6_anti-correlated_seed0.pcf,1000,681,733427,2160484,825740709,0
gen_n1000_rho0.6_anti-correlated_seed1.pcf,1000,710,1072030,3403394,849832052,0
gen_n1000_rho0.6_anti-correlated_seed2.pcf,1000,687,1079798,2212855,830688476,0
gen_n1000_rho0.6_correlated_seed0.pcf,1000,705,1133611,2162055,824927926,0
gen_n1000_rho0.6_correlated_seed1.pcf,1000,667,710032,2341472,802064535,0
gen_n1000_rho0.6_correlated_seed2.pcf,1000,685,1171924,2299569,818282656,0
gen_n1000_rho0.6_exact-ties_seed0.pcf,1000,202,1040683,2177992,242511372,0
gen_n1000_rho0.6_exact-ties_seed1.pcf,1000,189,1040157,2231770,227173337,0
gen_n1000_rho0.6_exact-ties_seed2.pcf,1000,201,657937,2123638,239996343,0
gen_n1000_rho0.6_independent-positive_seed0.pcf,1000,710,829271,2357490,852730261,0
gen_n1000_rho0.6_independent-positive_seed1.pcf,1000,706,1465474,2373002,850387777,0
gen_n1000_rho0.6_independent-positive_seed2.pcf,1000,701,1044191,2288289,850706503,0
gen_n1000_rho0.6_independent-signed_seed0.pcf,1000,710,905060,2338908,851751517,0
gen_n1000_rho0.6_independent-signed_seed1.pcf,1000,714,946355,2407753,860720088,0
gen_n1000_rho0.6_independent-signed_seed2.pcf,1000,704,667626,2223664,848033625,0
gen_n1000_rho0.6_near-ties_seed0.pcf,1000,222,907928,2140753,264462020,0
gen_n1000_rho0.6_near-ties_seed1.pcf,1000,209,723893,2513177,251819847,0
gen_n1000_rho0.6_near-ties_seed2.pcf,1000,212,1113019,3325692,254366445,0
gen_n100_rho0.6_anti-correlated_seed0.pcf,100,59,61705,391633,39689980,0
gen_n100_rho0.6_anti-correlated_seed1.pcf,100,69,80377,178228,46421460,0
gen_n100_rho0.6_anti-correlated_seed2.pcf,100,72,77339,293416,48848284,0
gen_n100_rho0.6_correlated_seed0.pcf,100,71,106454,251380,48220077,0
gen_n100_rho0.6_correlated_seed1.pcf,100,74,83122,305561,49593629,0
gen_n100_rho0.6_correlated_seed2.pcf,100,75,43576,293842,50163293,0
gen_n100_rho0.6_exact-ties_seed0.pcf,100,17,80335,182785,11459967,0
gen_n100_rho0.6_exact-ties_seed1.pcf,100,17,92912,299599,11637957,0
gen_n100_rho0.6_exact-ties_seed2.pcf,100,20,77620,167825,13416372,0
gen_n100_rho0.6_independent-positive_seed0.pcf,100,62,126174,394144,41800104,0
gen_n100_rho0.6_independent-positive_seed1.pcf,100,68,57076,347940,45719829,0
gen_n100_rho0.6_independent-positive_seed2.pcf,100,75,45092,251625,50490927,0
gen_n100_rho0.6_independent-signed_seed0.pcf,100,65,65394,381185,43541558,0
gen_n100_rho0.6_independent-signed_seed1.pcf,100,67,97097,336597,45208105,0
gen_n100_rho0.6_independent-signed_seed2.pcf,100,76,43307,246517,50918547,0
