instance,n_nodes,n_breakpoints_hpac,n_probes,n_breakpoints_bppf_distinct,agrees_or_tolerance_explained,hpac_median_ns,bppf_internal_median_ns,bppf_wall_median_ns
gen_n1000_rho0.3_anti-correlated_seed0.pcf,1000,873,874,874,True,287911,7826000,8741664
gen_n1000_rho0.3_anti-correlated_seed1.pcf,1000,858,859,859,True,279881,7595000,8466587
gen_n1000_rho0.3_anti-correlated_seed2.pcf,1000,857,858,858,True,288681,7600000,8455613
gen_n1000_rho0.3_anti-correlated_seed3.pcf,1000,853,854,854,True,289570,7561000,8441459
gen_n1000_rho0.3_anti-correlated_seed4.pcf,1000,851,852,852,True,303102,7545000,8420840
gen_n1000_rho0.3_anti-correlated_seed5.pcf,1000,849,850,850,True,303088,7500000,8406052
gen_n1000_rho0.3_anti-correlated_seed6.pcf,1000,834,835,835,True,302001,7410000,8391870
gen_n1000_rho0.3_anti-correlated_seed7.pcf,1000,847,848,848,True,302003,7548000,8396323
gen_n1000_rho0.3_anti-correlated_seed8.pcf,1000,835,836,836,True,313177,7434000,8290903
gen_n1000_rho0.3_anti-correlated_seed9.pcf,1000,846,847,847,True,301930,7503000,8344445
gen_n1000_rho0.3_correlated_seed0.pcf,1000,862,863,863,True,266473,7552000,8403313
gen_n1000_rho0.3_correlated_seed1.pcf,1000,843,844,844,True,271784,7428000,8306022
gen_n1000_rho0.3_correlated_seed2.pcf,1000,832,833,833,True,280952,7404000,8233873
gen_n1000_rho0.3_correlated_seed3.pcf,1000,845,846,846,True,283769,7405000,8248695
gen_n1000_rho0.3_correlated_seed4.pcf,1000,814,815,815,True,299683,7188000,8076071
gen_n1000_rho0.3_correlated_seed5.pcf,1000,812,813,813,True,298760,7224000,8057849
gen_n1000_rho0.3_correlated_seed6.pcf,1000,816,817,817,True,276901,7244000,8076592
gen_n1000_rho0.3_correlated_seed7.pcf,1000,818,819,819,True,295842,7245000,8074071
gen_n1000_rho0.3_correlated_seed8.pcf,1000,818,819,819,True,314847,7242000,8194573
gen_n1000_rho0.3_correlated_seed9.pcf,1000,829,830,830,True,286921,7340000,8145299
gen_n1000_rho0.3_exact-ties_seed0.pcf,1000,142,143,143,True,258779,1352000,2063360
gen_n1000_rho0.3_exact-ties_seed1.pcf,1000,146,147,147,True,248050,1404000,2106255
gen_n1000_rho0.3_exact-ties_seed2.pcf,1000,134,135,135,True,255270,1310000,2024305
gen_n1000_rho0.3_exact-ties_seed3.pcf,1000,137,138,138,True,249784,1313000,2019136
gen_n1000_rho0.3_exact-ties_seed4.pcf,1000,144,145,145,True,270804,1380000,2091357
gen_n1000_rho0.3_exact-ties_seed5.pcf,1000,147,148,148,True,269571,1393000,2124525
gen_n1000_rho0.3_exact-ties_seed6.pcf,1000,138,139,139,True,241839,1315000,2032019
gen_n1000_rho0.3_exact-ties_seed7.pcf,1000,140,141,141,True,244126,1366000,2080653
gen_n1000_rho0.3_exact-ties_seed8.pcf,1000,164,165,165,True,259832,1547000,2257771
gen_n1000_rho0.3_exact-ties_seed9.pcf,1000,144,145,145,True,267597,1358000,2067563
gen_n1000_rho0.3_independent-positive_seed0.pcf,1000,855,856,856,True,274308,7561000,8387637
gen_n1000_rho0.3_independent-positive_seed1.pcf,1000,863,864,864,True,282395,7619000,8456365
gen_n1000_rho0.3_independent-positive_seed2.pcf,1000,846,847,847,True,281858,7478000,8324560
gen_n1000_rho0.3_independent-positive_seed3.pcf,1000,852,853,853,True,287072,7457000,8332053
gen_n1000_rho0.3_independent-positive_seed4.pcf,1000,833,834,834,True,314588,7391000,8227398
gen_n1000_rho0.3_independent-positive_seed5.pcf,1000,849,850,850,True,309121,7491000,8345391
gen_n1000_rho0.3_independent-positive_seed6.pcf,1000,853,854,854,True,300237,7503000,8441929
gen_n1000_rho0.3_independent-positive_seed7.pcf,1000,845,846,846,True,309076,7538000,8372605
gen_n1000_rho0.3_independent-positive_seed8.pcf,1000,865,866,866,True,303824,7634000,8506205
gen_n1000_rho0.3_independent-positive_seed9.pcf,1000,830,831,831,True,315533,7377000,8272456
gen_n1000_rho0.3_independent-signed_seed0.pcf,1000,845,846,846,True,292389,7469000,8371593
gen_n1000_rho0.3_independent-signed_seed1.pcf,1000,871,872,872,True,280806,7620000,8469968
gen_n1000_rho0.3_independent-signed_seed2.pcf,1000,841,842,842,True,289878,7451000,8297187
gen_n1000_rho0.3_independent-signed_seed3.pcf,1000,861,862,862,True,276811,7551000,8403532
gen_n1000_rho0.3_independent-signed_seed4.pcf,1000,847,848,848,True,326633,7524000,8420427
gen_n1000_rho0.3_independent-signed_seed5.pcf,1000,856,857,857,True,308273,7504000,8373555
gen_n1000_rho0.3_independent-signed_seed6.pcf,1000,852,853,853,True,290961,7521000,8361609
gen_n1000_rho0.3_independent-signed_seed7.pcf,1000,854,855,855,True,302163,7710000,8538791
gen_n1000_rho0.3_independent-signed_seed8.pcf,1000,839,840,840,True,313473,7424000,8286823
gen_n1000_rho0.3_independent-signed_seed9.pcf,1000,838,839,839,True,299407,7397000,8241031
gen_n1000_rho0.3_near-ties_seed0.pcf,1000,196,197,197,True,269662,2027000,2729299
gen_n1000_rho0.3_near-ties_seed1.pcf,1000,190,191,191,True,273681,1961000,2682085
gen_n1000_rho0.3_near-ties_seed2.pcf,1000,199,200,200,True,282108,2094000,2846325
gen_n1000_rho0.3_near-ties_seed3.pcf,1000,195,196,196,True,271545,2040000,2762180
gen_n1000_rho0.3_near-ties_seed4.pcf,1000,188,189,189,True,280515,1980000,2715592
gen_n1000_rho0.3_near-ties_seed5.pcf,1000,201,202,202,True,286370,2082000,2787067
gen_n1000_rho0.3_near-ties_seed6.pcf,1000,191,192,192,True,283364,2053000,2797420
gen_n1000_rho0.3_near-ties_seed7.pcf,1000,194,195,195,True,281283,2042000,2762645
gen_n1000_rho0.3_near-ties_seed8.pcf,1000,198,199,199,True,282343,2062000,2842367
gen_n1000_rho0.3_near-ties_seed9.pcf,1000,194,195,195,True,287293,2033999,2756163
gen_n1000_rho0.6_anti-correlated_seed0.pcf,1000,682,683,683,True,570895,6426000,7237380
gen_n1000_rho0.6_anti-correlated_seed1.pcf,1000,711,712,712,True,549965,6632000,7468371
gen_n1000_rho0.6_anti-correlated_seed2.pcf,1000,688,689,689,True,580796,6465000,7326960
gen_n1000_rho0.6_anti-correlated_seed3.pcf,1000,694,695,695,True,550820,6521000,7374609
gen_n1000_rho0.6_anti-correlated_seed4.pcf,1000,713,714,714,True,536635,6692000,7558657
gen_n1000_rho0.6_anti-correlated_seed5.pcf,1000,697,698,698,True,641220,6527000,7374093
gen_n1000_rho0.6_anti-correlated_seed6.pcf,1000,724,725,725,True,548374,6752000,7650893
gen_n1000_rho0.6_anti-correlated_seed7.pcf,1000,719,720,720,True,550024,6696000,7548820
gen_n1000_rho0.6_anti-correlated_seed8.pcf,1000,681,682,682,True,662884,6676000,7603451
gen_n1000_rho0.6_anti-correlated_seed9.pcf,1000,713,714,714,True,637214,6941000,7805733
gen_n1000_rho0.6_correlated_seed0.pcf,1000,706,707,706,True,540341,6564000,7476003
gen_n1000_rho0.6_correlated_seed1.pcf,1000,668,669,669,True,558447,6295000,7123826
gen_n1000_rho0.6_correlated_seed2.pcf,1000,686,687,687,True,585532,6434000,7278805
gen_n1000_rho0.6_correlated_seed3.pcf,1000,679,680,680,True,567101,6366000,7208381
gen_n1000_rho0.6_correlated_seed4.pcf,1000,691,692,692,True,540242,6475000,7302125
gen_n1000_rho0.6_correlated_seed5.pcf,1000,679,680,680,True,595456,6372000,7209320
gen_n1000_rho0.6_correlated_seed6.pcf,1000,685,686,686,True,530147,6452000,7346631
gen_n1000_rho0.6_correlated_seed7.pcf,1000,685,686,686,True,533475,6397000,7268581
gen_n1000_rho0.6_correlated_seed8.pcf,1000,667,668,668,True,653929,6306000,7147756
gen_n1000_rho0.6_correlated_seed9.pcf,1000,686,687,687,True,594214,6464000,7319649
gen_n1000_rho0.6_exact-ties_seed0.pcf,1000,203,204,204,True,504872,2204000,2956061
gen_n1000_rho0.6_exact-ties_seed1.pcf,1000,190,191,191,True,507649,2096000,2868561
gen_n1000_rho0.6_exact-ties_seed2.pcf,1000,202,203,203,True,496351,2178000,2927591
gen_n1000_rho0.6_exact-ties_seed3.pcf,1000,189,190,190,True,615328,2101000,2847052
gen_n1000_rho0.6_exact-ties_seed4.pcf,1000,192,193,193,True,460562,2017000,2790954
gen_n1000_rho0.6_exact-ties_seed5.pcf,1000,194,195,195,True,477624,2108000,2871879
gen_n1000_rho0.6_exact-ties_seed6.pcf,1000,202,203,203,True,539212,2156000,2909928
gen_n1000_rho0.6_exact-ties_seed7.pcf,1000,210,211,211,True,480404,2262000,3019389
gen_n1000_rho0.6_exact-ties_seed8.pcf,1000,203,204,204,True,532317,2297000,3079204
gen_n1000_rho0.6_exact-ties_seed9.pcf,1000,186,187,187,True,588445,2053999,2804749
gen_n1000_rho0.6_independent-positive_seed0.pcf,1000,711,712,712,True,511371,6806000,7649885
gen_n1000_rho0.6_independent-positive_seed1.pcf,1000,707,708,708,True,662820,6664000,7522017
gen_n1000_rho0.6_independent-positive_seed2.pcf,1000,702,703,703,True,530119,6581000,7449954
gen_n1000_rho0.6_independent-positive_seed3.pcf,1000,691,692,692,True,624525,6539000,7382129
gen_n1000_rho0.6_independent-positive_seed4.pcf,1000,724,725,725,True,502330,6806000,7647647
gen_n1000_rho0.6_independent-positive_seed5.pcf,1000,699,700,700,True,546676,6549000,7422503
gen_n1000_rho0.6_independent-positive_seed6.pcf,1000,693,694,694,True,578242,6584000,7454231
gen_n1000_rho0.6_independent-positive_seed7.pcf,1000,705,706,706,True,519698,6595000,7437527
gen_n1000_rho0.6_independent-positive_seed8.pcf,1000,699,700,700,True,561832,6591000,7487912
gen_n1000_rho0.6_independent-positive_seed9.pcf,1000,704,705,705,True,538785,6618000,7431495
gen_n1000_rho0.6_independent-signed_seed0.pcf,1000,711,712,712,True,488886,6683000,7593892
gen_n1000_rho0.6_independent-signed_seed1.pcf,1000,715,716,716,True,701494,6722000,7599614
gen_n1000_rho0.6_independent-signed_seed2.pcf,1000,705,706,706,True,524593,6628000,7501342
gen_n1000_rho0.6_independent-signed_seed3.pcf,1000,702,703,703,True,608586,6637000,7586628
gen_n1000_rho0.6_independent-signed_seed4.pcf,1000,715,716,716,True,493184,6665000,7520662
gen_n1000_rho0.6_independent-signed_seed5.pcf,1000,722,723,723,True,541289,6750000,7638338
gen_n1000_rho0.6_independent-signed_seed6.pcf,1000,695,696,696,True,579742,6543000,7423574
gen_n1000_rho0.6_independent-signed_seed7.pcf,1000,712,713,713,True,522574,6664000,7509872
gen_n1000_rho0.6_independent-signed_seed8.pcf,1000,713,714,714,True,545989,6724000,7583499
gen_n1000_rho0.6_independent-signed_seed9.pcf,1000,678,679,679,True,530714,6465000,7388765
gen_n1000_rho0.6_near-ties_seed0.pcf,1000,223,224,224,True,475239,2422000,3213256
gen_n1000_rho0.6_near-ties_seed1.pcf,1000,210,211,211,True,556867,2393000,3218224
gen_n1000_rho0.6_near-ties_seed2.pcf,1000,213,214,214,True,522963,2353000,3130968
gen_n1000_rho0.6_near-ties_seed3.pcf,1000,228,229,229,True,509514,2476000,3265303
gen_n1000_rho0.6_near-ties_seed4.pcf,1000,217,218,218,True,527036,2362000,3137601
gen_n1000_rho0.6_near-ties_seed5.pcf,1000,218,219,219,True,566280,2372000,3123457
gen_n1000_rho0.6_near-ties_seed6.pcf,1000,226,227,227,True,579419,2487000,3261636
gen_n1000_rho0.6_near-ties_seed7.pcf,1000,220,221,221,True,539434,2388000,3155403
gen_n1000_rho0.6_near-ties_seed8.pcf,1000,222,223,223,True,605396,2436000,3199569
gen_n1000_rho0.6_near-ties_seed9.pcf,1000,205,206,206,True,520537,2258000,3023357
gen_n1000_rho0.9_anti-correlated_seed0.pcf,1000,533,534,534,True,1082339,5489000,6314360
gen_n1000_rho0.9_anti-correlated_seed1.pcf,1000,568,569,569,True,1344635,5749000,6609420
gen_n1000_rho0.9_anti-correlated_seed2.pcf,1000,522,523,523,True,1319417,5448000,6275447
gen_n1000_rho0.9_anti-correlated_seed3.pcf,1000,567,568,568,True,1462817,5821000,6663951
gen_n1000_rho0.9_anti-correlated_seed4.pcf,1000,550,551,551,True,1271565,5669000,6547123
gen_n1000_rho0.9_anti-correlated_seed5.pcf,1000,537,538,538,True,1169133,5481000,6304317
gen_n1000_rho0.9_anti-correlated_seed6.pcf,1000,524,525,525,True,1222719,5411000,6248087
gen_n1000_rho0.9_anti-correlated_seed7.pcf,1000,542,543,543,True,1133400,5541000,6388157
gen_n1000_rho0.9_anti-correlated_seed8.pcf,1000,581,582,582,True,1082676,5860000,6733827
gen_n1000_rho0.9_anti-correlated_seed9.pcf,1000,549,550,550,True,1226737,5644000,6537349
gen_n1000_rho0.9_correlated_seed0.pcf,1000,553,554,554,True,1112504,5634000,6497174
gen_n1000_rho0.9_correlated_seed1.pcf,1000,526,527,527,True,1288218,5446000,6306505
gen_n1000_rho0.9_correlated_seed2.pcf,1000,550,551,551,True,1300301,5607000,6453103
gen_n1000_rho0.9_correlated_seed3.pcf,1000,537,538,538,True,1442392,5524000,6435834
gen_n1000_rho0.9_correlated_seed4.pcf,1000,550,551,551,True,1231077,5665000,6567452
gen_n1000_rho0.9_correlated_seed5.pcf,1000,548,549,549,True,1128310,5630000,6481874
gen_n1000_rho0.9_correlated_seed6.pcf,1000,536,537,537,True,1220371,5546000,6365062
gen_n1000_rho0.9_correlated_seed7.pcf,1000,550,551,550,True,1160591,5591000,6439857
gen_n1000_rho0.9_correlated_seed8.pcf,1000,571,572,572,True,1092421,5802000,6687680
gen_n1000_rho0.9_correlated_seed9.pcf,1000,523,524,524,True,1180209,5407000,6293582
gen_n1000_rho0.9_exact-ties_seed0.pcf,1000,205,206,206,True,1254475,2500000,3299563
gen_n1000_rho0.9_exact-ties_seed1.pcf,1000,212,213,213,True,1143555,2627000,3424649
gen_n1000_rho0.9_exact-ties_seed2.pcf,1000,180,181,181,True,1474817,2260000,3067280
gen_n1000_rho0.9_exact-ties_seed3.pcf,1000,214,215,215,True,1208189,2630000,3446448
gen_n1000_rho0.9_exact-ties_seed4.pcf,1000,213,214,214,True,1373156,2574000,3367077
gen_n1000_rho0.9_exact-ties_seed5.pcf,1000,209,210,210,True,1157685,2504000,3290606
gen_n1000_rho0.9_exact-ties_seed6.pcf,1000,207,208,208,True,1046862,2493000,3299775
gen_n1000_rho0.9_exact-ties_seed7.pcf,1000,219,220,220,True,1404338,2652000,3452884
gen_n1000_rho0.9_exact-ties_seed8.pcf,1000,200,201,201,True,1044664,2482000,3301830
gen_n1000_rho0.9_exact-ties_seed9.pcf,1000,204,205,205,True,1292166,2489000,3291462
gen_n1000_rho0.9_independent-positive_seed0.pcf,1000,524,525,525,True,1216862,5483000,6330214
gen_n1000_rho0.9_independent-positive_seed1.pcf,1000,535,536,536,True,1343117,5562000,6431620
gen_n1000_rho0.9_independent-positive_seed2.pcf,1000,564,565,565,True,1369872,5764000,6604081
gen_n1000_rho0.9_independent-positive_seed3.pcf,1000,545,546,546,True,1472267,5694000,6534925
gen_n1000_rho0.9_independent-positive_seed4.pcf,1000,541,542,542,True,1317375,5617000,6518734
gen_n1000_rho0.9_independent-positive_seed5.pcf,1000,543,544,544,True,1435763,5706000,6547125
gen_n1000_rho0.9_independent-positive_seed6.pcf,1000,571,572,572,True,1041898,5855000,6684500
gen_n1000_rho0.9_independent-positive_seed7.pcf,1000,572,573,573,True,1379964,5865000,6705596
gen_n1000_rho0.9_independent-positive_seed8.pcf,1000,551,552,552,True,1211680,5908000,6804751
gen_n1000_rho0.9_independent-positive_seed9.pcf,1000,542,543,543,True,1311082,5697000,6581329
gen_n1000_rho0.9_independent-signed_seed0.pcf,1000,541,542,542,True,1187032,5623000,6515532
gen_n1000_rho0.9_independent-signed_seed1.pcf,1000,548,549,549,True,1418753,5632000,6471294
gen_n1000_rho0.9_independent-signed_seed2.pcf,1000,556,557,557,True,1383876,5722000,6571763
gen_n1000_rho0.9_independent-signed_seed3.pcf,1000,549,550,550,True,1443398,5747000,6584158
gen_n1000_rho0.9_independent-signed_seed4.pcf,1000,532,533,533,True,1389374,5533000,6451200
