instance,n,layers_hpac,layers_fphpf,same_partition,same_breakpoints,hpac_median_ns,fphpf_solve_median_ns,ratio_fphpf_over_hpac
gen_n1000_rho0.3_anti-correlated_seed0.pcf,1000,873,873,True,True,418240,52353000,125.175
gen_n1000_rho0.3_anti-correlated_seed1.pcf,1000,858,858,True,True,424729,50475000,118.84
gen_n1000_rho0.3_anti-correlated_seed2.pcf,1000,857,857,True,True,283410,50118000,176.839
gen_n1000_rho0.3_anti-correlated_seed3.pcf,1000,853,853,True,True,280106,52649000,187.961
gen_n1000_rho0.3_anti-correlated_seed4.pcf,1000,851,851,True,True,449806,53825000,119.663
gen_n1000_rho0.3_anti-correlated_seed5.pcf,1000,849,849,True,True,453766,51379000,113.228
gen_n1000_rho0.3_anti-correlated_seed6.pcf,1000,834,834,True,True,300896,47928000,159.284
gen_n1000_rho0.3_anti-correlated_seed7.pcf,1000,847,847,True,True,446347,50154000,112.365
gen_n1000_rho0.3_anti-correlated_seed8.pcf,1000,835,835,True,True,489699,47887000,97.789
gen_n1000_rho0.3_anti-correlated_seed9.pcf,1000,846,846,True,True,480103,48332000,100.67
gen_n1000_rho0.3_correlated_seed0.pcf,1000,862,862,True,True,279440,52324000,187.246
gen_n1000_rho0.3_correlated_seed1.pcf,1000,843,843,True,True,264904,48430000,182.821
gen_n1000_rho0.3_correlated_seed2.pcf,1000,832,832,True,True,272877,50820000,186.238
gen_n1000_rho0.3_correlated_seed3.pcf,1000,845,845,True,True,418156,49012000,117.21
gen_n1000_rho0.3_correlated_seed4.pcf,1000,814,814,True,True,294594,49876000,169.304
gen_n1000_rho0.3_correlated_seed5.pcf,1000,812,812,True,True,442703,49373000,111.526
gen_n1000_rho0.3_correlated_seed6.pcf,1000,816,816,True,True,498631,48518000,97.302
gen_n1000_rho0.3_correlated_seed7.pcf,1000,818,818,True,True,286545,46839000,163.461
gen_n1000_rho0.3_correlated_seed8.pcf,1000,818,818,True,True,299325,46526000,155.436
gen_n1000_rho0.3_correlated_seed9.pcf,1000,829,829,True,True,283197,47700000,168.434
gen_n1000_rho0.3_exact-ties_seed0.pcf,1000,142,142,True,True,447180,14326000,32.036
gen_n1000_rho0.3_exact-ties_seed1.pcf,1000,146,146,True,True,272573,13858000,50.841
gen_n1000_rho0.3_exact-ties_seed2.pcf,1000,134,134,True,True,562224,13304000,23.663
gen_n1000_rho0.3_exact-ties_seed3.pcf,1000,137,137,True,True,574129,13658000,23.789
gen_n1000_rho0.3_exact-ties_seed4.pcf,1000,144,144,True,True,275586,14700000,53.341
gen_n1000_rho0.3_exact-ties_seed5.pcf,1000,147,147,True,True,276963,12207000,44.074
gen_n1000_rho0.3_exact-ties_seed6.pcf,1000,138,138,True,True,470824,12993000,27.596
gen_n1000_rho0.3_exact-ties_seed7.pcf,1000,140,140,True,True,385993,12862000,33.322
gen_n1000_rho0.3_exact-ties_seed8.pcf,1000,164,164,True,True,726292,15935999,21.942
gen_n1000_rho0.3_exact-ties_seed9.pcf,1000,144,144,True,True,470830,12793000,27.171
gen_n1000_rho0.3_independent-positive_seed0.pcf,1000,855,855,True,True,273623,48951000,178.899
gen_n1000_rho0.3_independent-positive_seed1.pcf,1000,863,863,True,True,430353,49866000,115.872
gen_n1000_rho0.3_independent-positive_seed2.pcf,1000,846,846,True,True,420325,50461000,120.052
gen_n1000_rho0.3_independent-positive_seed3.pcf,1000,852,852,True,True,431991,47705000,110.431
gen_n1000_rho0.3_independent-positive_seed4.pcf,1000,833,833,True,True,470045,49018000,104.284
gen_n1000_rho0.3_independent-positive_seed5.pcf,1000,849,849,True,True,459275,49359000,107.472
gen_n1000_rho0.3_independent-positive_seed6.pcf,1000,853,853,True,True,557882,50605000,90.709
gen_n1000_rho0.3_independent-positive_seed7.pcf,1000,845,845,True,True,303801,49438000,162.732
gen_n1000_rho0.3_independent-positive_seed8.pcf,1000,865,865,True,True,305389,51107000,167.35
gen_n1000_rho0.3_independent-positive_seed9.pcf,1000,830,830,True,True,467471,46626000,99.741
gen_n1000_rho0.3_independent-signed_seed0.pcf,1000,845,845,True,True,280322,48384000,172.602
gen_n1000_rho0.3_independent-signed_seed1.pcf,1000,871,871,True,True,425705,48242000,113.323
gen_n1000_rho0.3_independent-signed_seed2.pcf,1000,841,841,True,True,429662,48511000,112.905
gen_n1000_rho0.3_independent-signed_seed3.pcf,1000,861,861,True,True,418162,50198000,120.044
gen_n1000_rho0.3_independent-signed_seed4.pcf,1000,847,847,True,True,324625,48643000,149.844
gen_n1000_rho0.3_independent-signed_seed5.pcf,1000,856,856,True,True,309769,49164000,158.712
gen_n1000_rho0.3_independent-signed_seed6.pcf,1000,852,852,True,True,428739,47850000,111.606
gen_n1000_rho0.3_independent-signed_seed7.pcf,1000,854,854,True,True,455023,49815000,109.478
gen_n1000_rho0.3_independent-signed_seed8.pcf,1000,839,839,True,True,335455,47097000,140.397
gen_n1000_rho0.3_independent-signed_seed9.pcf,1000,838,838,True,True,453620,48767000,107.506
gen_n1000_rho0.3_near-ties_seed0.pcf,1000,196,196,True,True,314212,15619000,49.708
gen_n1000_rho0.3_near-ties_seed1.pcf,1000,190,190,True,True,464016,15038000,32.408
gen_n1000_rho0.3_near-ties_seed2.pcf,1000,199,199,True,True,1019807,18474000,18.115
gen_n1000_rho0.3_near-ties_seed3.pcf,1000,195,195,True,True,462818,16090000,34.765
gen_n1000_rho0.3_near-ties_seed4.pcf,1000,188,188,True,True,513804,15238000,29.657
gen_n1000_rho0.3_near-ties_seed5.pcf,1000,201,201,True,True,523043,15027000,28.73
gen_n1000_rho0.3_near-ties_seed6.pcf,1000,191,191,True,True,434380,17848000,41.088
gen_n1000_rho0.3_near-ties_seed7.pcf,1000,194,194,True,True,399689,16149000,40.404
gen_n1000_rho0.3_near-ties_seed8.pcf,1000,198,198,True,True,611544,15657000,25.602
gen_n1000_rho0.3_near-ties_seed9.pcf,1000,194,194,True,True,293056,17501000,59.719
gen_n1000_rho0.6_anti-correlated_seed0.pcf,1000,682,682,True,True,560836,44067000,78.574
gen_n1000_rho0.6_anti-correlated_seed1.pcf,1000,711,711,True,True,570853,44356000,77.701
gen_n1000_rho0.6_anti-correlated_seed2.pcf,1000,688,688,True,True,602522,42135000,69.931
gen_n1000_rho0.6_anti-correlated_seed3.pcf,1000,694,694,True,True,802993,45181000,56.266
gen_n1000_rho0.6_anti-correlated_seed4.pcf,1000,713,713,True,True,777852,43155000,55.48
gen_n1000_rho0.6_anti-correlated_seed5.pcf,1000,697,697,True,True,654936,43918000,67.057
gen_n1000_rho0.6_anti-correlated_seed6.pcf,1000,724,724,True,True,662003,43484000,65.686
gen_n1000_rho0.6_anti-correlated_seed7.pcf,1000,719,719,True,True,540341,44812000,82.933
gen_n1000_rho0.6_anti-correlated_seed8.pcf,1000,681,681,True,True,931188,43228000,46.422
gen_n1000_rho0.6_anti-correlated_seed9.pcf,1000,713,713,True,True,578265,43435000,75.113
gen_n1000_rho0.6_correlated_seed0.pcf,1000,706,706,True,True,591442,44645000,75.485
gen_n1000_rho0.6_correlated_seed1.pcf,1000,668,668,True,True,808542,39885000,49.33
gen_n1000_rho0.6_correlated_seed2.pcf,1000,686,686,True,True,1245847,42388000,34.023
gen_n1000_rho0.6_correlated_seed3.pcf,1000,679,679,True,True,556919,40388000,72.52
gen_n1000_rho0.6_correlated_seed4.pcf,1000,691,691,True,True,796014,45167000,56.741
gen_n1000_rho0.6_correlated_seed5.pcf,1000,679,679,True,True,595207,41208000,69.233
gen_n1000_rho0.6_correlated_seed6.pcf,1000,685,685,True,True,557493,42447000,76.139
gen_n1000_rho0.6_correlated_seed7.pcf,1000,685,685,True,True,1065998,42718000,40.073
gen_n1000_rho0.6_correlated_seed8.pcf,1000,667,667,True,True,635568,44391000,69.845
gen_n1000_rho0.6_correlated_seed9.pcf,1000,686,686,True,True,593768,44033000,74.159
gen_n1000_rho0.6_exact-ties_seed0.pcf,1000,203,203,True,True,825028,16110000,19.527
gen_n1000_rho0.6_exact-ties_seed1.pcf,1000,190,190,True,True,776255,14972000,19.287
gen_n1000_rho0.6_exact-ties_seed2.pcf,1000,202,202,True,True,522216,16025999,30.688
gen_n1000_rho0.6_exact-ties_seed3.pcf,1000,189,189,True,True,623474,15137000,24.278
gen_n1000_rho0.6_exact-ties_seed4.pcf,1000,192,192,True,True,468704,19151000,40.859
gen_n1000_rho0.6_exact-ties_seed5.pcf,1000,194,194,True,True,800188,15673000,19.587
gen_n1000_rho0.6_exact-ties_seed6.pcf,1000,202,202,True,True,568783,16299999,28.658
gen_n1000_rho0.6_exact-ties_seed7.pcf,1000,210,210,True,True,674688,17048000,25.268
gen_n1000_rho0.6_exact-ties_seed8.pcf,1000,203,203,True,True,774522,17343000,22.392
gen_n1000_rho0.6_exact-ties_seed9.pcf,1000,186,186,True,True,587784,16129000,27.44
gen_n1000_rho0.6_independent-positive_seed0.pcf,1000,711,711,True,True,741323,42143000,56.848
gen_n1000_rho0.6_independent-positive_seed1.pcf,1000,707,707,True,True,998875,44582000,44.632
gen_n1000_rho0.6_independent-positive_seed2.pcf,1000,702,702,True,True,520842,45324000,87.021
gen_n1000_rho0.6_independent-positive_seed3.pcf,1000,691,691,True,True,881501,46317000,52.543
gen_n1000_rho0.6_independent-positive_seed4.pcf,1000,724,724,True,True,514130,47214000,91.833
gen_n1000_rho0.6_independent-positive_seed5.pcf,1000,699,699,True,True,801191,48145000,60.092
gen_n1000_rho0.6_independent-positive_seed6.pcf,1000,693,693,True,True,801058,41784000,52.161
gen_n1000_rho0.6_independent-positive_seed7.pcf,1000,705,705,True,True,534651,43408000,81.189
gen_n1000_rho0.6_independent-positive_seed8.pcf,1000,699,699,True,True,803923,44274000,55.072
gen_n1000_rho0.6_independent-positive_seed9.pcf,1000,704,704,True,True,766917,41227000,53.757
gen_n1000_rho0.6_independent-signed_seed0.pcf,1000,711,711,True,True,738416,43401000,58.776
gen_n1000_rho0.6_independent-signed_seed1.pcf,1000,715,715,True,True,1021273,43769000,42.857
gen_n1000_rho0.6_independent-signed_seed2.pcf,1000,705,705,True,True,769344,43672000,56.765
gen_n1000_rho0.6_independent-signed_seed3.pcf,1000,702,702,True,True,1072404,41803000,38.981
gen_n1000_rho0.6_independent-signed_seed4.pcf,1000,715,715,True,True,490726,45754000,93.237
gen_n1000_rho0.6_independent-signed_seed5.pcf,1000,722,722,True,True,791963,44039000,55.607
gen_n1000_rho0.6_independent-signed_seed6.pcf,1000,695,695,True,True,594257,41764000,70.279
gen_n1000_rho0.6_independent-signed_seed7.pcf,1000,712,712,True,True,536867,44265000,82.451
gen_n1000_rho0.6_independent-signed_seed8.pcf,1000,713,713,True,True,567594,43563000,76.75
gen_n1000_rho0.6_independent-signed_seed9.pcf,1000,678,678,True,True,551809,43537000,78.899
