instance,algorithm,run,elapsed_ns,macroitems
star_n1000_seed0.pcf,fma,0,29839258,439
star_n1000_seed0.pcf,hfma,0,123815475,439
star_n1000_seed0.pcf,fma,1,29045618,439
star_n1000_seed0.pcf,hfma,1,119401740,439
star_n1000_seed0.pcf,fma,2,28611882,439
star_n1000_seed0.pcf,hfma,2,119129719,439
star_n1000_seed0.pcf,fma,3,28532522,439
star_n1000_seed0.pcf,hfma,3,120196739,439
star_n1000_seed0.pcf,fma,4,28713938,439
star_n1000_seed0.pcf,hfma,4,121128596,439
star_n1000_seed1.pcf,fma,0,27867061,417
star_n1000_seed1.pcf,hfma,0,120120781,417
star_n1000_seed1.pcf,fma,1,27794391,417
star_n1000_seed1.pcf,hfma,1,119808848,417
star_n1000_seed1.pcf,fma,2,27606456,417
star_n1000_seed1.pcf,hfma,2,120819068,417
star_n1000_seed1.pcf,fma,3,27667122,417
star_n1000_seed1.pcf,hfma,3,120820984,417
star_n1000_seed1.pcf,fma,4,27809147,417
star_n1000_seed1.pcf,hfma,4,120702069,417
star_n1000_seed2.pcf,fma,0,34035627,424
star_n1000_seed2.pcf,hfma,0,120904428,424
star_n1000_seed2.pcf,fma,1,29109755,424
star_n1000_seed2.pcf,hfma,1,121151733,424
star_n1000_seed2.pcf,fma,2,28912105,424
star_n1000_seed2.pcf,hfma,2,120309911,424
star_n1000_seed2.pcf,fma,3,28996989,424
star_n1000_seed2.pcf,hfma,3,121493329,424
star_n1000_seed2.pcf,fma,4,28951903,424
star_n1000_seed2.pcf,hfma,4,120123996,424
star_n100_seed0.pcf,fma,0,539030,47
star_n100_seed0.pcf,hfma,0,1432981,47
star_n100_seed0.pcf,fma,1,496927,47
star_n100_seed0.pcf,hfma,1,1356602,47
star_n100_seed0.pcf,fma,2,487936,47
star_n100_seed0.pcf,hfma,2,1338029,47
star_n100_seed0.pcf,fma,3,490009,47
star_n100_seed0.pcf,hfma,3,1339083,47
star_n100_seed0.pcf,fma,4,486289,47
star_n100_seed0.pcf,hfma,4,1337888,47
star_n100_seed1.pcf,fma,0,547297,50
star_n100_seed1.pcf,hfma,0,1421888,50
star_n100_seed1.pcf,fma,1,527758,50
star_n100_seed1.pcf,hfma,1,934500,50
star_n100_seed1.pcf,fma,2,320096,50
star_n100_seed1.pcf,hfma,2,905463,50
star_n100_seed1.pcf,fma,3,324726,50
star_n100_seed1.pcf,hfma,3,1004048,50
star_n100_seed1.pcf,fma,4,363144,50
star_n100_seed1.pcf,hfma,4,1096357,50
star_n100_seed2.pcf,fma,0,472607,47
star_n100_seed2.pcf,hfma,0,1236071,47
star_n100_seed2.pcf,fma,1,382082,47
star_n100_seed2.pcf,hfma,1,1011667,47
star_n100_seed2.pcf,fma,2,325508,47
star_n100_seed2.pcf,hfma,2,902566,47
star_n100_seed2.pcf,fma,3,318222,47
star_n100_seed2.pcf,hfma,3,885433,47
star_n100_seed2.pcf,fma,4,318407,47
star_n100_seed2.pcf,hfma,4,891521,47
star_n2000_seed0.pcf,fma,0,131933745,770
star_n2000_seed0.pcf,hfma,0,601243758,770
star_n2000_seed0.pcf,fma,1,122519529,770
star_n2000_seed0.pcf,hfma,1,602110940,770
star_n2000_seed0.pcf,fma,2,122256764,770
star_n2000_seed0.pcf,hfma,2,589073672,770
star_n2000_seed0.pcf,fma,3,120881596,770
star_n2000_seed0.pcf,hfma,3,595406434,770
star_n2000_seed0.pcf,fma,4,120348903,770
star_n2000_seed0.pcf,hfma,4,591226068,770
star_n2000_seed1.pcf,fma,0,125922351,758
star_n2000_seed1.pcf,hfma,0,594398206,758
star_n2000_seed1.pcf,fma,1,119448710,758
star_n2000_seed1.pcf,hfma,1,596066564,758
star_n2000_seed1.pcf,fma,2,120553761,758
star_n2000_seed1.pcf,hfma,2,584551926,758
star_n2000_seed1.pcf,fma,3,120628501,758
star_n2000_seed1.pcf,hfma,3,585334837,758
star_n2000_seed1.pcf,fma,4,119645438,758
star_n2000_seed1.pcf,hfma,4,582551338,758
star_n2000_seed2.pcf,fma,0,131607650,766
star_n2000_seed2.pcf,hfma,0,608160396,766
star_n2000_seed2.pcf,fma,1,119335611,766
star_n2000_seed2.pcf,hfma,1,594535651,766
star_n2000_seed2.pcf,fma,2,119742189,766
star_n2000_seed2.pcf,hfma,2,593087827,766
star_n2000_seed2.pcf,fma,3,120676758,766
star_n2000_seed2.pcf,hfma,3,586476595,766
star_n2000_seed2.pcf,fma,4,120693187,766
star_n2000_seed2.pcf,hfma,4,593223131,766
star_n200_seed0.pcf,fma,0,2043732,97
star_n200_seed0.pcf,hfma,0,6070502,97
star_n200_seed0.pcf,fma,1,2023011,97
star_n200_seed0.pcf,hfma,1,5456449,97
star_n200_seed0.pcf,fma,2,1314620,97
star_n200_seed0.pcf,hfma,2,4675402,97
star_n200_seed0.pcf,fma,3,1841079,97
star_n200_seed0.pcf,hfma,3,6207304,97
star_n200_seed0.pcf,fma,4,1298537,97
star_n200_seed0.pcf,hfma,4,3899290,97
star_n200_seed1.pcf,fma,0,1196676,90
star_n200_seed1.pcf,hfma,0,3937225,90
star_n200_seed1.pcf,fma,1,1147680,90
star_n200_seed1.pcf,hfma,1,3904523,90
star_n200_seed1.pcf,fma,2,1151369,90
star_n200_seed1.pcf,hfma,2,3858200,90
star_n200_seed1.pcf,fma,3,1160080,90
star_n200_seed1.pcf,hfma,3,3877077,90
star_n200_seed1.pcf,fma,4,1158175,90
star_n200_seed1.pcf,hfma,4,3844368,90
star_n200_seed2.pcf,fma,0,1217967,93
star_n200_seed2.pcf,hfma,0,3988460,93
star_n200_seed2.pcf,fma,1,1182336,93
star_n200_seed2.pcf,hfma,1,3912434,93
star_n200_seed2.pcf,fma,2,1207665,93
star_n200_seed2.pcf,hfma,2,3927724,93
star_n200_seed2.pcf,fma,3,1201421,93
star_n200_seed2.pcf,hfma,3,3919390,93
star_n200_seed2.pcf,fma,4,1196040,93
star_n200_seed2.pcf,hfma,4,3900207,93
star_n500_seed0.pcf,fma,0,7545459,234
star_n500_seed0.pcf,hfma,0,27363660,234
star_n500_seed0.pcf,fma,1,7331434,234
star_n500_seed0.pcf,hfma,1,27385798,234
star_n500_seed0.pcf,fma,2,7258712,234
star_n500_seed0.pcf,hfma,2,26662510,234
star_n500_seed0.pcf,fma,3,6998326,234
star_n500_seed0.pcf,hfma,3,26523165,234
star_n500_seed0.pcf,fma,4,6980610,234
star_n500_seed0.pcf,hfma,4,26413065,234
star_n500_seed1.pcf,fma,0,6636271,223
star_n500_seed1.pcf,hfma,0,26926643,223
star_n500_seed1.pcf,fma,1,6900785,223
star_n500_seed1.pcf,hfma,1,26674521,223
star_n500_seed1.pcf,fma,2,6743169,223
star_n500_seed1.pcf,hfma,2,26948372,223
star_n500_seed1.pcf,fma,3,6833176,223
star_n500_seed1.pcf,hfma,3,27095036,223
star_n500_seed1.pcf,fma,4,6822325,223
star_n500_seed1.pcf,hfma,4,26986640,223
star_n500_seed2.pcf,fma,0,7050561,222
star_n500_seed2.pcf,hfma,0,27451655,222
star_n500_seed2.pcf,fma,1,7216415,222
star_n500_seed2.pcf,hfma,1,27298986,222
star_n500_seed2.pcf,fma,2,7073806,222
star_n500_seed2.pcf,hfma,2,26459194,222
star_n500_seed2.pcf,fma,3,6977144,222
star_n500_seed2.pcf,hfma,3,26441065,222
star_n500_seed2.pcf,fma,4,7055382,222
star_n500_seed2.pcf,hfma,4,26804816,222
