instance,algorithm,run,elapsed_ns,macroitems
path_n1000_seed0.pcf,hfma,0,1001059,518
path_n1000_seed0.pcf,dhfma,0,1062873,518
path_n1000_seed0.pcf,hfma,1,927301,518
path_n1000_seed0.pcf,dhfma,1,962892,518
path_n1000_seed0.pcf,hfma,2,886021,518
path_n1000_seed0.pcf,dhfma,2,945682,518
path_n1000_seed0.pcf,hfma,3,877353,518
path_n1000_seed0.pcf,dhfma,3,930998,518
path_n1000_seed0.pcf,hfma,4,579426,518
path_n1000_seed0.pcf,dhfma,4,614913,518
path_n1000_seed1.pcf,hfma,0,693878,503
path_n1000_seed1.pcf,dhfma,0,607488,503
path_n1000_seed1.pcf,hfma,1,571208,503
path_n1000_seed1.pcf,dhfma,1,599792,503
path_n1000_seed1.pcf,hfma,2,567703,503
path_n1000_seed1.pcf,dhfma,2,585821,503
path_n1000_seed1.pcf,hfma,3,569749,503
path_n1000_seed1.pcf,dhfma,3,585913,503
path_n1000_seed1.pcf,hfma,4,566123,503
path_n1000_seed1.pcf,dhfma,4,595396,503
path_n1000_seed2.pcf,hfma,0,965452,502
path_n1000_seed2.pcf,dhfma,0,963216,502
path_n1000_seed2.pcf,hfma,1,858340,502
path_n1000_seed2.pcf,dhfma,1,936600,502
path_n1000_seed2.pcf,hfma,2,870891,502
path_n1000_seed2.pcf,dhfma,2,906321,502
path_n1000_seed2.pcf,hfma,3,846520,502
path_n1000_seed2.pcf,dhfma,3,892393,502
path_n1000_seed2.pcf,hfma,4,850704,502
path_n1000_seed2.pcf,dhfma,4,803400,502
path_n100_seed0.pcf,hfma,0,98851,57
path_n100_seed0.pcf,dhfma,0,100537,57
path_n100_seed0.pcf,hfma,1,83994,57
path_n100_seed0.pcf,dhfma,1,90979,57
path_n100_seed0.pcf,hfma,2,88706,57
path_n100_seed0.pcf,dhfma,2,90407,57
path_n100_seed0.pcf,hfma,3,80175,57
path_n100_seed0.pcf,dhfma,3,88686,57
path_n100_seed0.pcf,hfma,4,79143,57
path_n100_seed0.pcf,dhfma,4,88799,57
path_n100_seed1.pcf,hfma,0,67960,59
path_n100_seed1.pcf,dhfma,0,66951,59
path_n100_seed1.pcf,hfma,1,53530,59
path_n100_seed1.pcf,dhfma,1,55419,59
path_n100_seed1.pcf,hfma,2,48607,59
path_n100_seed1.pcf,dhfma,2,51121,59
path_n100_seed1.pcf,hfma,3,50283,59
path_n100_seed1.pcf,dhfma,3,48966,59
path_n100_seed1.pcf,hfma,4,43787,59
path_n100_seed1.pcf,dhfma,4,47033,59
path_n100_seed2.pcf,hfma,0,95935,57
path_n100_seed2.pcf,dhfma,0,93288,57
path_n100_seed2.pcf,hfma,1,79057,57
path_n100_seed2.pcf,dhfma,1,86832,57
path_n100_seed2.pcf,hfma,2,76227,57
path_n100_seed2.pcf,dhfma,2,81767,57
path_n100_seed2.pcf,hfma,3,74888,57
path_n100_seed2.pcf,dhfma,3,90223,57
path_n100_seed2.pcf,hfma,4,78590,57
path_n100_seed2.pcf,dhfma,4,84479,57
