instance,algorithm,run,elapsed_ns,macroitems
random_n100000_rho0.3_strongly-corr_seed0.pcf,hfma,0,48322655,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,55049847,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,hfma,1,50093753,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,52615876,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,hfma,2,48069308,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,48196829,3085
random_n100000_rho0.3_uncorr_seed0.pcf,hfma,0,62943354,74204
random_n100000_rho0.3_uncorr_seed0.pcf,dhfma,0,62130774,74204
random_n100000_rho0.3_uncorr_seed0.pcf,hfma,1,56542250,74204
random_n100000_rho0.3_uncorr_seed0.pcf,dhfma,1,54168452,74204
random_n100000_rho0.3_uncorr_seed0.pcf,hfma,2,48807620,74204
random_n100000_rho0.3_uncorr_seed0.pcf,dhfma,2,53319710,74204
random_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,0,112531573,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,110093896,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,1,108312417,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,110606121,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,2,107306399,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,110081532,4514
random_n100000_rho0.6_uncorr_seed0.pcf,hfma,0,120084065,63218
random_n100000_rho0.6_uncorr_seed0.pcf,dhfma,0,126861130,63218
random_n100000_rho0.6_uncorr_seed0.pcf,hfma,1,120122919,63218
random_n100000_rho0.6_uncorr_seed0.pcf,dhfma,1,127209471,63218
random_n100000_rho0.6_uncorr_seed0.pcf,hfma,2,110903421,63218
random_n100000_rho0.6_uncorr_seed0.pcf,dhfma,2,112877945,63218
random_n10000_rho0.3_strongly-corr_seed0.pcf,hfma,0,3807849,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,3763858,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,hfma,1,3619182,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,3873809,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,hfma,2,3740157,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,3842005,1480
random_n10000_rho0.3_uncorr_seed0.pcf,hfma,0,5048916,8320
random_n10000_rho0.3_uncorr_seed0.pcf,dhfma,0,4821820,8320
random_n10000_rho0.3_uncorr_seed0.pcf,hfma,1,3883861,8320
random_n10000_rho0.3_uncorr_seed0.pcf,dhfma,1,4698375,8320
random_n10000_rho0.3_uncorr_seed0.pcf,hfma,2,3759050,8320
random_n10000_rho0.3_uncorr_seed0.pcf,dhfma,2,4737140,8320
random_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,0,8804991,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,8750331,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,1,8705577,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,8777735,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,2,8755267,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,8764334,1774
random_n10000_rho0.6_uncorr_seed0.pcf,hfma,0,8928476,6899
random_n10000_rho0.6_uncorr_seed0.pcf,dhfma,0,9359252,6899
random_n10000_rho0.6_uncorr_seed0.pcf,hfma,1,8710563,6899
random_n10000_rho0.6_uncorr_seed0.pcf,dhfma,1,9401163,6899
random_n10000_rho0.6_uncorr_seed0.pcf,hfma,2,8529376,6899
random_n10000_rho0.6_uncorr_seed0.pcf,dhfma,2,9208915,6899
random_n20000_rho0.3_strongly-corr_seed0.pcf,hfma,0,8228065,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,7724369,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,hfma,1,7687839,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,7379412,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,hfma,2,7062253,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,7355152,1860
random_n20000_rho0.3_uncorr_seed0.pcf,hfma,0,8174030,16347
random_n20000_rho0.3_uncorr_seed0.pcf,dhfma,0,9476631,16347
random_n20000_rho0.3_uncorr_seed0.pcf,hfma,1,7555132,16347
random_n20000_rho0.3_uncorr_seed0.pcf,dhfma,1,8557843,16347
random_n20000_rho0.3_uncorr_seed0.pcf,hfma,2,7497925,16347
random_n20000_rho0.3_uncorr_seed0.pcf,dhfma,2,8422802,16347
random_n20000_rho0.6_strongly-corr_seed0.pcf,hfma,0,18560139,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,18395504,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,hfma,1,18120423,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,18221427,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,hfma,2,18110086,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,18467422,2337
random_n20000_rho0.6_uncorr_seed0.pcf,hfma,0,19823689,13612
random_n20000_rho0.6_uncorr_seed0.pcf,dhfma,0,19907858,13612
random_n20000_rho0.6_uncorr_seed0.pcf,hfma,1,18007628,13612
random_n20000_rho0.6_uncorr_seed0.pcf,dhfma,1,18834836,13612
random_n20000_rho0.6_uncorr_seed0.pcf,hfma,2,17918975,13612
random_n20000_rho0.6_uncorr_seed0.pcf,dhfma,2,18885515,13612
random_n30000_rho0.3_strongly-corr_seed0.pcf,hfma,0,12598154,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,12581108,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,hfma,1,11758042,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,11949160,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,hfma,2,11796209,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,11960554,2084
random_n30000_rho0.3_uncorr_seed0.pcf,hfma,0,13216920,24160
random_n30000_rho0.3_uncorr_seed0.pcf,dhfma,0,14673597,24160
random_n30000_rho0.3_uncorr_seed0.pcf,hfma,1,12732717,24160
random_n30000_rho0.3_uncorr_seed0.pcf,dhfma,1,14501156,24160
random_n30000_rho0.3_uncorr_seed0.pcf,hfma,2,12579870,24160
random_n30000_rho0.3_uncorr_seed0.pcf,dhfma,2,14510994,24160
random_n30000_rho0.6_strongly-corr_seed0.pcf,hfma,0,29894539,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,28388785,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,hfma,1,27648921,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,28450355,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,hfma,2,27466531,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,27978101,2690
random_n30000_rho0.6_uncorr_seed0.pcf,hfma,0,29300338,20177
random_n30000_rho0.6_uncorr_seed0.pcf,dhfma,0,30058882,20177
random_n30000_rho0.6_uncorr_seed0.pcf,hfma,1,27112995,20177
random_n30000_rho0.6_uncorr_seed0.pcf,dhfma,1,28904549,20177
random_n30000_rho0.6_uncorr_seed0.pcf,hfma,2,27567100,20177
random_n30000_rho0.6_uncorr_seed0.pcf,dhfma,2,29233993,20177
random_n40000_rho0.3_strongly-corr_seed0.pcf,hfma,0,16578882,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,dhfma,0,16175621,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,hfma,1,15470668,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,dhfma,1,15691731,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,hfma,2,15168461,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,dhfma,2,15431243,2366
random_n40000_rho0.3_uncorr_seed0.pcf,hfma,0,18047068,31800
random_n40000_rho0.3_uncorr_seed0.pcf,dhfma,0,19839542,31800
random_n40000_rho0.3_uncorr_seed0.pcf,hfma,1,17064702,31800
random_n40000_rho0.3_uncorr_seed0.pcf,dhfma,1,19004325,31800
random_n40000_rho0.3_uncorr_seed0.pcf,hfma,2,16419113,31800
random_n40000_rho0.3_uncorr_seed0.pcf,dhfma,2,18635409,31800
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,0,39195608,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,0,38233376,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,1,37971738,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,1,37622617,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,2,38538406,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,dhfma,2,38512625,3103
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,0,43598873,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,0,43028240,26606
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,1,40968711,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,1,41703944,26606
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,2,40721828,26606
random_n40000_rho0.6_uncorr_seed0.pcf,dhfma,2,42833648,26606
