instance,algorithm,run,elapsed_ns,macroitems
star_n1000_seed0.pcf,hfma,0,126439556,439
star_n1000_seed0.pcf,dhfma,0,132988593,439
star_n1000_seed0.pcf,hfma,1,124834755,439
star_n1000_seed0.pcf,dhfma,1,126739968,439
star_n1000_seed0.pcf,hfma,2,122346018,439
star_n1000_seed0.pcf,dhfma,2,129682509,439
star_n1000_seed0.pcf,hfma,3,124793627,439
star_n1000_seed0.pcf,dhfma,3,124968566,439
star_n1000_seed0.pcf,hfma,4,120913719,439
star_n1000_seed0.pcf,dhfma,4,125455841,439
star_n1000_seed1.pcf,hfma,0,123288413,417
star_n1000_seed1.pcf,dhfma,0,128149653,417
star_n1000_seed1.pcf,hfma,1,124149014,417
star_n1000_seed1.pcf,dhfma,1,132788910,417
star_n1000_seed1.pcf,hfma,2,121554734,417
star_n1000_seed1.pcf,dhfma,2,125094744,417
star_n1000_seed1.pcf,hfma,3,119521185,417
star_n1000_seed1.pcf,dhfma,3,124641401,417
star_n1000_seed1.pcf,hfma,4,119854524,417
star_n1000_seed1.pcf,dhfma,4,121556277,417
star_n1000_seed2.pcf,hfma,0,121922830,424
star_n1000_seed2.pcf,dhfma,0,122989395,424
star_n1000_seed2.pcf,hfma,1,119689752,424
star_n1000_seed2.pcf,dhfma,1,124026705,424
star_n1000_seed2.pcf,hfma,2,120792363,424
star_n1000_seed2.pcf,dhfma,2,124649670,424
star_n1000_seed2.pcf,hfma,3,121705138,424
star_n1000_seed2.pcf,dhfma,3,122599017,424
star_n1000_seed2.pcf,hfma,4,120935098,424
star_n1000_seed2.pcf,dhfma,4,122423866,424
star_n100_seed0.pcf,hfma,0,981826,47
star_n100_seed0.pcf,dhfma,0,936238,47
star_n100_seed0.pcf,hfma,1,916145,47
star_n100_seed0.pcf,dhfma,1,931079,47
star_n100_seed0.pcf,hfma,2,902766,47
star_n100_seed0.pcf,dhfma,2,904133,47
star_n100_seed0.pcf,hfma,3,920383,47
star_n100_seed0.pcf,dhfma,3,946510,47
star_n100_seed0.pcf,hfma,4,900564,47
star_n100_seed0.pcf,dhfma,4,914870,47
star_n100_seed1.pcf,hfma,0,1410333,50
star_n100_seed1.pcf,dhfma,0,1201327,50
star_n100_seed1.pcf,hfma,1,916167,50
star_n100_seed1.pcf,dhfma,1,901915,50
star_n100_seed1.pcf,hfma,2,917863,50
star_n100_seed1.pcf,dhfma,2,998510,50
