instance,algorithm,run,elapsed_ns,macroitems
in_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,0,124494352,4502
in_n100000_rho0.6_strongly-corr_seed0.pcf,hima,0,76510803,4502
in_n100000_rho0.6_uncorr_seed0.pcf,hfma,0,134778172,63214
in_n100000_rho0.6_uncorr_seed0.pcf,hima,0,82004092,63214
in_n100000_rho1.0_strongly-corr_seed0.pcf,hfma,0,2339959045,5477
in_n100000_rho1.0_strongly-corr_seed0.pcf,hima,0,98809056,5477
in_n100000_rho1.0_uncorr_seed0.pcf,hfma,0,1939468220,46794
in_n100000_rho1.0_uncorr_seed0.pcf,hima,0,100282835,46794
in_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,0,10164155,1781
in_n10000_rho0.6_strongly-corr_seed0.pcf,hima,0,4979009,1781
in_n10000_rho0.6_uncorr_seed0.pcf,hfma,0,10587368,6877
in_n10000_rho0.6_uncorr_seed0.pcf,hima,0,5281469,6877
in_n10000_rho1.0_strongly-corr_seed0.pcf,hfma,0,80903571,1713
in_n10000_rho1.0_strongly-corr_seed0.pcf,hima,0,6558581,1713
in_n10000_rho1.0_uncorr_seed0.pcf,hfma,0,88014754,4996
in_n10000_rho1.0_uncorr_seed0.pcf,hima,0,6706754,4996
in_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,0,53745220,3429
in_n50000_rho0.6_strongly-corr_seed0.pcf,hima,0,28751603,3429
in_n50000_rho0.6_uncorr_seed0.pcf,hfma,0,55418494,32983
in_n50000_rho0.6_uncorr_seed0.pcf,hima,0,31652508,32983
in_n50000_rho1.0_strongly-corr_seed0.pcf,hfma,0,819564106,3921
in_n50000_rho1.0_strongly-corr_seed0.pcf,hima,0,39178040,3921
in_n50000_rho1.0_uncorr_seed0.pcf,hfma,0,705588966,24447
in_n50000_rho1.0_uncorr_seed0.pcf,hima,0,40122867,24447
