instance,algorithm,run,elapsed_ns,macroitems
out_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,0,113544684,4436
out_n100000_rho0.6_strongly-corr_seed0.pcf,homa,0,73490057,4436
out_n100000_rho0.6_uncorr_seed0.pcf,hfma,0,134648526,63212
out_n100000_rho0.6_uncorr_seed0.pcf,homa,0,86114293,63212
out_n100000_rho1.0_strongly-corr_seed0.pcf,hfma,0,1327652143,5565
out_n100000_rho1.0_strongly-corr_seed0.pcf,homa,0,121753212,5565
out_n100000_rho1.0_uncorr_seed0.pcf,hfma,0,1371038750,46900
out_n100000_rho1.0_uncorr_seed0.pcf,homa,0,138560943,46900
out_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,0,9759636,1754
out_n10000_rho0.6_strongly-corr_seed0.pcf,homa,0,5607774,1754
out_n10000_rho0.6_uncorr_seed0.pcf,hfma,0,12091351,6886
out_n10000_rho0.6_uncorr_seed0.pcf,homa,0,10547661,6886
out_n10000_rho1.0_strongly-corr_seed0.pcf,hfma,0,62847898,1737
out_n10000_rho1.0_strongly-corr_seed0.pcf,homa,0,7984299,1737
out_n10000_rho1.0_uncorr_seed0.pcf,hfma,0,61628075,5118
out_n10000_rho1.0_uncorr_seed0.pcf,homa,0,8054750,5118
out_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,0,56193460,3376
out_n50000_rho0.6_strongly-corr_seed0.pcf,homa,0,32296074,3376
out_n50000_rho0.6_uncorr_seed0.pcf,hfma,0,65435203,33035
out_n50000_rho0.6_uncorr_seed0.pcf,homa,0,36316480,33035
out_n50000_rho1.0_strongly-corr_seed0.pcf,hfma,0,510633988,3927
out_n50000_rho1.0_strongly-corr_seed0.pcf,homa,0,49721907,3927
out_n50000_rho1.0_uncorr_seed0.pcf,hfma,0,510655390,24037
out_n50000_rho1.0_uncorr_seed0.pcf,homa,0,52443339,24037
