instance,algorithm,run,elapsed_ns,macroitems
random_n100000_rho0.3_strongly-corr_seed0.pcf,hfma,0,46976137,3085
random_n100000_rho0.3_strongly-corr_seed0.pcf,rac,0,1128554143,3085
random_n100000_rho0.3_uncorr_seed0.pcf,hfma,0,52106678,74204
random_n100000_rho0.3_uncorr_seed0.pcf,rac,0,1135452247,74204
random_n100000_rho0.6_strongly-corr_seed0.pcf,hfma,0,108980732,4514
random_n100000_rho0.6_strongly-corr_seed0.pcf,rac,0,2381042152,4514
random_n100000_rho0.6_uncorr_seed0.pcf,hfma,0,114403706,63218
random_n100000_rho0.6_uncorr_seed0.pcf,rac,0,2365955056,63218
random_n10000_rho0.3_strongly-corr_seed0.pcf,hfma,0,4372155,1480
random_n10000_rho0.3_strongly-corr_seed0.pcf,rac,0,16596589,1480
random_n10000_rho0.3_uncorr_seed0.pcf,hfma,0,7870740,8320
random_n10000_rho0.3_uncorr_seed0.pcf,rac,0,28409086,8320
random_n10000_rho0.6_strongly-corr_seed0.pcf,hfma,0,13205352,1774
random_n10000_rho0.6_strongly-corr_seed0.pcf,rac,0,38348075,1774
random_n10000_rho0.6_uncorr_seed0.pcf,hfma,0,9686886,6899
random_n10000_rho0.6_uncorr_seed0.pcf,rac,0,37248862,6899
random_n20000_rho0.3_strongly-corr_seed0.pcf,hfma,0,7762719,1860
random_n20000_rho0.3_strongly-corr_seed0.pcf,rac,0,47117306,1860
random_n20000_rho0.3_uncorr_seed0.pcf,hfma,0,10508292,16347
random_n20000_rho0.3_uncorr_seed0.pcf,rac,0,49863774,16347
random_n20000_rho0.6_strongly-corr_seed0.pcf,hfma,0,23862551,2337
random_n20000_rho0.6_strongly-corr_seed0.pcf,rac,0,109394447,2337
random_n20000_rho0.6_uncorr_seed0.pcf,hfma,0,19886054,13612
random_n20000_rho0.6_uncorr_seed0.pcf,rac,0,105758629,13612
random_n30000_rho0.3_strongly-corr_seed0.pcf,hfma,0,12522169,2084
random_n30000_rho0.3_strongly-corr_seed0.pcf,rac,0,95603261,2084
random_n30000_rho0.3_uncorr_seed0.pcf,hfma,0,13845384,24160
random_n30000_rho0.3_uncorr_seed0.pcf,rac,0,99232642,24160
random_n30000_rho0.6_strongly-corr_seed0.pcf,hfma,0,29585261,2690
random_n30000_rho0.6_strongly-corr_seed0.pcf,rac,0,225346592,2690
random_n30000_rho0.6_uncorr_seed0.pcf,hfma,0,32577539,20177
random_n30000_rho0.6_uncorr_seed0.pcf,rac,0,227754066,20177
random_n40000_rho0.3_strongly-corr_seed0.pcf,hfma,0,17142041,2366
random_n40000_rho0.3_strongly-corr_seed0.pcf,rac,0,170613305,2366
random_n40000_rho0.3_uncorr_seed0.pcf,hfma,0,19809067,31800
random_n40000_rho0.3_uncorr_seed0.pcf,rac,0,161305783,31800
random_n40000_rho0.6_strongly-corr_seed0.pcf,hfma,0,41596506,3103
random_n40000_rho0.6_strongly-corr_seed0.pcf,rac,0,383724984,3103
random_n40000_rho0.6_uncorr_seed0.pcf,hfma,0,42123642,26606
random_n40000_rho0.6_uncorr_seed0.pcf,rac,0,387134788,26606
random_n50000_rho0.3_strongly-corr_seed0.pcf,hfma,0,20841665,2457
random_n50000_rho0.3_strongly-corr_seed0.pcf,rac,0,245677097,2457
random_n50000_rho0.3_uncorr_seed0.pcf,hfma,0,22954731,39259
random_n50000_rho0.3_uncorr_seed0.pcf,rac,0,245524827,39259
random_n50000_rho0.6_strongly-corr_seed0.pcf,hfma,0,50355575,3373
random_n50000_rho0.6_strongly-corr_seed0.pcf,rac,0,611456289,3373
random_n50000_rho0.6_uncorr_seed0.pcf,hfma,0,55585364,32902
random_n50000_rho0.6_uncorr_seed0.pcf,rac,0,620773626,32902
random_n60000_rho0.3_strongly-corr_seed0.pcf,hfma,0,25736370,2609
random_n60000_rho0.3_strongly-corr_seed0.pcf,rac,0,350679406,2609
random_n60000_rho0.3_uncorr_seed0.pcf,hfma,0,29240790,46489
random_n60000_rho0.3_uncorr_seed0.pcf,rac,0,362963377,46489
random_n60000_rho0.6_strongly-corr_seed0.pcf,hfma,0,62294053,3598
