instance,algorithm,run,elapsed_ns,macroitems
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,0,580909,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,rac,0,1729238,697
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,0,555200,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,rac,0,1501401,706
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,0,404435,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,rac,0,1062165,688
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,hfma,0,552131,708
random_n1000_rho0.3_strongly-corr-neg_seed3.pcf,rac,0,1788903,708
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,hfma,0,820941,686
random_n1000_rho0.3_strongly-corr-neg_seed4.pcf,rac,0,2308906,686
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,hfma,0,736633,671
random_n1000_rho0.3_strongly-corr-neg_seed5.pcf,rac,0,2533538,671
random_n1000_rho0.3_strongly-corr-neg_seed6.pcf,hfma,0,710876,693
random_n1000_rho0.3_strongly-corr-neg_seed6.pcf,rac,0,1879934,693
random_n1000_rho0.3_strongly-corr-neg_seed7.pcf,hfma,0,980718,679
random_n1000_rho0.3_strongly-corr-neg_seed7.pcf,rac,0,2327392,679
random_n1000_rho0.3_strongly-corr-neg_seed8.pcf,hfma,0,654930,686
random_n1000_rho0.3_strongly-corr-neg_seed8.pcf,rac,0,1732349,686
random_n1000_rho0.3_strongly-corr-neg_seed9.pcf,hfma,0,583235,685
random_n1000_rho0.3_strongly-corr-neg_seed9.pcf,rac,0,3775409,685
random_n1000_rho0.3_strongly-corr_seed0.pcf,hfma,0,716506,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,rac,0,2147314,598
random_n1000_rho0.3_strongly-corr_seed1.pcf,hfma,0,625701,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,rac,0,1774266,606
random_n1000_rho0.3_strongly-corr_seed2.pcf,hfma,0,857729,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,rac,0,2393961,608
random_n1000_rho0.3_strongly-corr_seed3.pcf,hfma,0,765584,630
random_n1000_rho0.3_strongly-corr_seed3.pcf,rac,0,2346897,630
random_n1000_rho0.3_strongly-corr_seed4.pcf,hfma,0,662513,593
random_n1000_rho0.3_strongly-corr_seed4.pcf,rac,0,1276246,593
random_n1000_rho0.3_strongly-corr_seed5.pcf,hfma,0,625131,601
random_n1000_rho0.3_strongly-corr_seed5.pcf,rac,0,1842168,601
