instance,algorithm,run,elapsed_ns,macroitems
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,0,372719,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,rac,0,1026512,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,1,325893,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,rac,1,1016675,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,hfma,2,321216,697
random_n1000_rho0.3_strongly-corr-neg_seed0.pcf,rac,2,986837,697
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,0,551344,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,rac,0,1489615,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,1,486596,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,rac,1,1417467,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,hfma,2,475741,706
random_n1000_rho0.3_strongly-corr-neg_seed1.pcf,rac,2,1339977,706
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,0,566495,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,rac,0,1622177,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,1,552201,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,rac,1,1767454,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,hfma,2,500753,688
random_n1000_rho0.3_strongly-corr-neg_seed2.pcf,rac,2,1474085,688
random_n1000_rho0.3_strongly-corr_seed0.pcf,hfma,0,357378,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,rac,0,985231,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,hfma,1,328407,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,rac,1,1011167,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,hfma,2,360493,598
random_n1000_rho0.3_strongly-corr_seed0.pcf,rac,2,1148904,598
random_n1000_rho0.3_strongly-corr_seed1.pcf,hfma,0,622749,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,rac,0,1655895,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,hfma,1,495592,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,rac,1,1501001,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,hfma,2,448982,606
random_n1000_rho0.3_strongly-corr_seed1.pcf,rac,2,1039175,606
random_n1000_rho0.3_strongly-corr_seed2.pcf,hfma,0,508993,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,rac,0,1646069,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,hfma,1,542526,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,rac,1,1949445,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,hfma,2,494402,608
random_n1000_rho0.3_strongly-corr_seed2.pcf,rac,2,1107895,608
random_n1000_rho0.3_uncorr-neg_seed0.pcf,hfma,0,1042035,851
random_n1000_rho0.3_uncorr-neg_seed0.pcf,rac,0,2191205,851
random_n1000_rho0.3_uncorr-neg_seed0.pcf,hfma,1,757042,851
random_n1000_rho0.3_uncorr-neg_seed0.pcf,rac,1,2741892,851
random_n1000_rho0.3_uncorr-neg_seed0.pcf,hfma,2,914053,851
random_n1000_rho0.3_uncorr-neg_seed0.pcf,rac,2,2403748,851
random_n1000_rho0.3_uncorr-neg_seed1.pcf,hfma,0,1404923,864
random_n1000_rho0.3_uncorr-neg_seed1.pcf,rac,0,3184139,864
random_n1000_rho0.3_uncorr-neg_seed1.pcf,hfma,1,763936,864
random_n1000_rho0.3_uncorr-neg_seed1.pcf,rac,1,2602109,864
random_n1000_rho0.3_uncorr-neg_seed1.pcf,hfma,2,996694,864
random_n1000_rho0.3_uncorr-neg_seed1.pcf,rac,2,3424094,864
random_n1000_rho0.3_uncorr-neg_seed2.pcf,hfma,0,1704263,844
random_n1000_rho0.3_uncorr-neg_seed2.pcf,rac,0,3787445,844
random_n1000_rho0.3_uncorr-neg_seed2.pcf,hfma,1,959839,844
random_n1000_rho0.3_uncorr-neg_seed2.pcf,rac,1,1774193,844
random_n1000_rho0.3_uncorr-neg_seed2.pcf,hfma,2,655893,844
random_n1000_rho0.3_uncorr-neg_seed2.pcf,rac,2,2267034,844
random_n1000_rho0.3_uncorr_seed0.pcf,hfma,0,968902,855
random_n1000_rho0.3_uncorr_seed0.pcf,rac,0,3129140,855
random_n1000_rho0.3_uncorr_seed0.pcf,hfma,1,305487,855
random_n1000_rho0.3_uncorr_seed0.pcf,rac,1,920054,855
random_n1000_rho0.3_uncorr_seed0.pcf,hfma,2,320434,855
random_n1000_rho0.3_uncorr_seed0.pcf,rac,2,906159,855
random_n1000_rho0.3_uncorr_seed1.pcf,hfma,0,1688971,863
random_n1000_rho0.3_uncorr_seed1.pcf,rac,0,4824314,863
random_n1000_rho0.3_uncorr_seed1.pcf,hfma,1,1485980,863
random_n1000_rho0.3_uncorr_seed1.pcf,rac,1,3761263,863
random_n1000_rho0.3_uncorr_seed1.pcf,hfma,2,930082,863
random_n1000_rho0.3_uncorr_seed1.pcf,rac,2,2317814,863
random_n1000_rho0.3_uncorr_seed2.pcf,hfma,0,1269792,846
random_n1000_rho0.3_uncorr_seed2.pcf,rac,0,2483459,846
random_n1000_rho0.3_uncorr_seed2.pcf,hfma,1,503662,846
random_n1000_rho0.3_uncorr_seed2.pcf,rac,1,1472313,846
random_n1000_rho0.3_uncorr_seed2.pcf,hfma,2,331000,846
random_n1000_rho0.3_uncorr_seed2.pcf,rac,2,1046141,846
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,hfma,0,374963,849
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,rac,0,1040038,849
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,hfma,1,398155,849
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,rac,1,1076752,849
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,hfma,2,341263,849
random_n1000_rho0.3_weakly-corr-neg_seed0.pcf,rac,2,1043422,849
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,hfma,0,563329,832
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,rac,0,1793561,832
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,hfma,1,509996,832
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,rac,1,1096428,832
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,hfma,2,407641,832
random_n1000_rho0.3_weakly-corr-neg_seed1.pcf,rac,2,1101383,832
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,hfma,0,362839,844
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,rac,0,1064806,844
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,hfma,1,337838,844
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,rac,1,1051789,844
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,hfma,2,336720,844
random_n1000_rho0.3_weakly-corr-neg_seed2.pcf,rac,2,1006065,844
random_n1000_rho0.3_weakly-corr_seed0.pcf,hfma,0,376199,849
random_n1000_rho0.3_weakly-corr_seed0.pcf,rac,0,1010021,849
random_n1000_rho0.3_weakly-corr_seed0.pcf,hfma,1,333907,849
random_n1000_rho0.3_weakly-corr_seed0.pcf,rac,1,1081160,849
random_n1000_rho0.3_weakly-corr_seed0.pcf,hfma,2,351347,849
random_n1000_rho0.3_weakly-corr_seed0.pcf,rac,2,1031660,849
random_n1000_rho0.3_weakly-corr_seed1.pcf,hfma,0,376389,855
random_n1000_rho0.3_weakly-corr_seed1.pcf,rac,0,966657,855
random_n1000_rho0.3_weakly-corr_seed1.pcf,hfma,1,327811,855
random_n1000_rho0.3_weakly-corr_seed1.pcf,rac,1,1018173,855
random_n1000_rho0.3_weakly-corr_seed1.pcf,hfma,2,330712,855
random_n1000_rho0.3_weakly-corr_seed1.pcf,rac,2,950548,855
random_n1000_rho0.3_weakly-corr_seed2.pcf,hfma,0,370351,849
random_n1000_rho0.3_weakly-corr_seed2.pcf,rac,0,1000792,849
random_n1000_rho0.3_weakly-corr_seed2.pcf,hfma,1,357733,849
random_n1000_rho0.3_weakly-corr_seed2.pcf,rac,1,986570,849
random_n1000_rho0.3_weakly-corr_seed2.pcf,hfma,2,338775,849
random_n1000_rho0.3_weakly-corr_seed2.pcf,rac,2,990035,849
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,hfma,0,1074585,619
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,rac,0,3339617,619
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,hfma,1,721644,619
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,rac,1,2285446,619
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,hfma,2,646480,619
random_n1000_rho0.6_strongly-corr-neg_seed0.pcf,rac,2,2348746,619
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,hfma,0,940369,617
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,rac,0,2482747,617
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,hfma,1,701893,617
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,rac,1,2273979,617
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,hfma,2,706699,617
random_n1000_rho0.6_strongly-corr-neg_seed1.pcf,rac,2,2221885,617
random_n1000_rho0.6_strongly-corr-neg_seed2.pcf,hfma,0,808116,619
