instance,algorithm,run,elapsed_ns,macroitems
star_n1000_seed0.pcf,hfma,0,123120142,439
star_n1000_seed0.pcf,rac,0,3999358,439
star_n1000_seed0.pcf,hfma,1,117877741,439
star_n1000_seed0.pcf,rac,1,3361708,439
star_n1000_seed0.pcf,hfma,2,113455019,439
star_n1000_seed0.pcf,rac,2,3415473,439
star_n1000_seed0.pcf,hfma,3,112388039,439
star_n1000_seed0.pcf,rac,3,3341175,439
star_n1000_seed0.pcf,hfma,4,112851971,439
star_n1000_seed0.pcf,rac,4,3319284,439
star_n1000_seed0.pcf,hfma,5,114109709,439
star_n1000_seed0.pcf,rac,5,3505619,439
star_n1000_seed0.pcf,hfma,6,115077476,439
star_n1000_seed0.pcf,rac,6,3355762,439
star_n1000_seed0.pcf,hfma,7,113548220,439
star_n1000_seed0.pcf,rac,7,3428461,439
star_n1000_seed0.pcf,hfma,8,112965081,439
star_n1000_seed0.pcf,rac,8,3370287,439
star_n1000_seed0.pcf,hfma,9,114487022,439
star_n1000_seed0.pcf,rac,9,3425974,439
star_n1000_seed0.pcf,hfma,10,114332210,439
star_n1000_seed0.pcf,rac,10,3419139,439
star_n1000_seed1.pcf,hfma,0,120865921,417
star_n1000_seed1.pcf,rac,0,3773979,417
star_n1000_seed1.pcf,hfma,1,116717561,417
star_n1000_seed1.pcf,rac,1,3481052,417
star_n1000_seed1.pcf,hfma,2,113619732,417
star_n1000_seed1.pcf,rac,2,3396317,417
star_n1000_seed1.pcf,hfma,3,114144937,417
star_n1000_seed1.pcf,rac,3,3308773,417
star_n1000_seed1.pcf,hfma,4,112429162,417
star_n1000_seed1.pcf,rac,4,3434607,417
star_n1000_seed1.pcf,hfma,5,112182152,417
star_n1000_seed1.pcf,rac,5,3332155,417
star_n1000_seed1.pcf,hfma,6,112036103,417
star_n1000_seed1.pcf,rac,6,3422289,417
star_n1000_seed1.pcf,hfma,7,111819732,417
star_n1000_seed1.pcf,rac,7,3315954,417
