n hpac dhpac hipac rac
100 0.0870 0.0833 0.0623 0.2834
200 0.1843 0.1805 0.1232 0.6323
300 0.2795 0.2807 0.1769 0.9304
400 0.3765 0.3909 0.2327 1.2275
500 0.4358 0.4969 0.2746 1.4078
600 0.5267 0.6037 0.3188 1.6906
700 0.6827 0.7897 0.3792 2.0085
800 0.6847 0.8351 0.4266 2.3103
900 0.8182 0.9732 0.4540 2.4396
1000 1.0576 1.0359 0.5811 3.1192
10000 14.1982 14.1479 6.5199 45.8613
20000 29.4782 31.0987 14.4427 120.3145
30000 49.5838 51.0440 24.9980 231.2765
40000 73.7829 72.8868 35.1755 347.8577
50000 95.3468 101.9299 45.1132 444.2303
60000 109.3511 130.9873 52.7957 570.2426
70000 127.8252 150.9680 65.9607 730.1527
80000 168.4429 185.0200 78.7385 979.9756
90000 203.0532 219.6809 86.5048 1184.6518
100000 237.6412 201.6988 114.2188 1620.4955
