n hpac dhpac hopac rac
100 0.0938 0.0954 0.0692 0.3018
200 0.2064 0.2058 0.1360 0.6263
300 0.2952 0.2863 0.2003 0.9146
400 0.4054 0.3800 0.2654 1.2229
500 0.5546 0.5449 0.3207 1.5723
600 0.6163 0.6790 0.3727 1.6990
700 0.7399 0.7506 0.4677 2.3959
800 0.8046 0.9390 0.5036 2.2585
900 0.8851 1.0351 0.5559 2.4901
1000 1.1453 1.2563 0.6884 3.0695
10000 13.6511 15.3452 7.5844 44.1174
20000 31.9064 33.7033 16.4991 117.9508
30000 51.3705 53.4095 27.7609 217.4011
40000 73.6323 79.8121 40.2880 323.3036
50000 95.2989 100.6177 54.6728 463.7591
60000 106.1461 135.0994 61.5177 541.2354
70000 135.5999 155.2371 75.5406 722.2088
80000 164.4364 197.6441 88.4161 941.5802
90000 185.7149 220.6494 106.0299 1187.5093
100000 229.5464 287.2351 132.1308 1608.7529
