n independentpositive independentsigned correlated anticorrelated nearties exactties
100 0.0745 0.0768 0.0738 0.0745 0.0759 0.0706
200 0.1593 0.1587 0.1573 0.1639 0.1590 0.1646
300 0.2619 0.2397 0.2487 0.2436 0.2605 0.2459
400 0.3507 0.3589 0.3450 0.3447 0.3262 0.3281
500 0.4436 0.4512 0.4213 0.4320 0.4044 0.4096
600 0.4946 0.4865 0.5580 0.5598 0.5068 0.5161
700 0.6863 0.6846 0.6239 0.6335 0.6507 0.5630
800 0.8246 0.8069 0.8487 0.8724 0.7980 0.8040
900 0.9955 0.9767 0.8978 0.9489 0.9313 0.8891
1000 0.9205 0.9336 0.9136 0.9095 0.8982 0.8463
