n independentpositive independentsigned correlated anticorrelated nearties exactties
100 0.2965 0.2904 0.3057 0.3079 0.2935 0.2493
200 0.6256 0.6233 0.6348 0.6392 0.5691 0.5588
300 0.9221 0.9260 0.9084 0.9017 0.9060 0.8673
400 1.2574 1.2471 1.2827 1.2926 1.2341 1.1799
500 1.5680 1.5329 1.4821 1.5150 1.4943 1.4002
600 1.8710 1.8794 1.8243 1.8625 1.8168 1.7146
700 2.1957 2.3605 2.1797 2.2262 2.3247 1.9642
800 2.8868 2.9143 2.9165 2.8940 2.7829 2.6514
900 3.2866 3.2765 3.1815 3.5264 3.0712 2.9609
1000 3.1776 3.0962 3.0237 3.0614 2.9161 2.8649
