n independentpositive independentsigned correlated anticorrelated nearties exactties
10000 12.3900 12.9933 13.1768 13.4189 12.0458 12.3306
20000 29.8494 29.6207 28.6667 29.0513 27.3115 27.1264
30000 46.4673 48.5483 47.5092 49.5919 42.4354 46.0426
40000 65.9725 64.6996 65.4422 66.3969 61.1922 61.6355
50000 93.1255 87.9048 88.6490 91.1147 83.2389 80.6859
60000 99.5248 100.1280 98.8760 100.4303 93.2027 92.8424
70000 124.3813 125.5385 114.8569 116.5332 115.4787 114.8556
80000 149.8714 149.1627 143.9032 144.7969 134.3681 135.2792
90000 174.2182 183.5863 172.8190 174.9220 157.8742 161.0432
100000 224.7189 224.2206 217.2644 229.4646 196.2591 202.3370
