n independentpositive independentsigned correlated anticorrelated nearties exactties
10000 53.3093 53.1401 53.0023 52.7560 49.8118 49.4385
20000 142.1692 142.0786 142.5941 143.1626 129.1376 132.1357
30000 263.4611 265.7442 267.8260 266.4508 238.6568 242.2151
40000 409.2098 412.6782 401.9869 408.9553 357.3530 366.8495
50000 551.0113 548.1482 535.1995 558.2919 480.9807 484.4271
60000 668.8123 663.7172 649.0245 669.3018 582.6767 602.7930
70000 835.4327 832.3990 824.5948 831.7933 779.2125 839.3493
80000 1035.9914 1034.7088 1040.8084 1036.8684 1027.4714 1020.4339
90000 1337.3960 1329.0412 1329.1983 1318.6234 1304.3301 1311.8222
100000 1765.5629 1753.1303 1792.4360 1768.8063 1701.2620 1735.4787
