size r03 r06 r09 r10
1 100.0000 100.0000 100.0000 100.0000
2 23.0415 37.4799 47.2491 100.0000
3 8.6422 20.4652 30.4806 100.0000
4 4.1218 13.1582 22.4378 100.0000
5 2.2234 9.3011 17.6272 100.0000
6 1.3390 6.9653 14.4440 100.0000
7 0.8592 5.4493 12.2112 100.0000
8 0.5795 4.3942 10.4989 100.0000
9 0.4177 3.6341 9.1676 100.0000
10 0.3065 3.0640 8.1883 100.0000
11 0.2284 2.6370 7.3875 100.0000
12 0.1760 2.2983 6.7204 100.0000
14 0.1084 1.7954 5.6603 100.0000
16 0.0675 1.4405 4.9114 100.0000
19 0.0378 1.0866 4.0588 100.0000
22 0.0237 0.8499 3.4644 100.0000
25 0.0153 0.6899 3.0067 100.0000
29 0.0101 0.5387 2.5589 100.0000
33 0.0061 0.4342 2.2308 100.0000
38 0.0041 0.3442 1.9097 100.0000
44 0.0029 0.2662 1.6405 100.0000
50 0.0017 0.2150 1.4141 100.0000
58 0.0010 0.1715 1.1957 100.0000
66 0.0007 0.1372 1.0411 100.0000
76 0.0004 0.1095 0.8935 100.0000
88 0.0004 0.0857 0.7689 100.0000
101 0.0000 0.0697 0.6592 100.0000
116 0.0000 0.0582 0.5624 100.0000
133 0.0000 0.0435 0.4747 100.0000
153 0.0000 0.0337 0.4059 100.0000
176 0.0000 0.0267 0.3430 100.0000
203 0.0000 0.0200 0.2922 100.0000
233 0.0000 0.0165 0.2583 100.0000
268 0.0000 0.0137 0.2174 100.0000
308 0.0000 0.0110 0.1835 100.0000
354 0.0000 0.0085 0.1635 100.0000
407 0.0000 0.0072 0.1416 100.0000
468 0.0000 0.0060 0.1247 100.0000
539 0.0000 0.0045 0.1137 100.0000
620 0.0000 0.0042 0.0977 100.0000
713 0.0000 0.0037 0.0848 100.0000
819 0.0000 0.0030 0.0708 100.0000
942 0.0000 0.0030 0.0658 100.0000
1084 0.0000 0.0025 0.0568 100.0000
1246 0.0000 0.0022 0.0469 100.0000
1433 0.0000 0.0012 0.0379 100.0000
1648 0.0000 0.0012 0.0349 100.0000
1895 0.0000 0.0002 0.0309 100.0000
2180 0.0000 0.0002 0.0259 100.0000
2507 0.0000 0.0002 0.0249 100.0000
2883 0.0000 0.0000 0.0239 100.0000
3315 0.0000 0.0000 0.0199 100.0000
3812 0.0000 0.0000 0.0170 100.0000
4384 0.0000 0.0000 0.0140 100.0000
5042 0.0000 0.0000 0.0140 100.0000
5798 0.0000 0.0000 0.0140 100.0000
6668 0.0000 0.0000 0.0140 100.0000
7668 0.0000 0.0000 0.0130 100.0000
8818 0.0000 0.0000 0.0130 100.0000
10140 0.0000 0.0000 0.0110 100.0000
11662 0.0000 0.0000 0.0110 100.0000
13411 0.0000 0.0000 0.0110 100.0000
15422 0.0000 0.0000 0.0100 100.0000
17736 0.0000 0.0000 0.0100 100.0000
20396 0.0000 0.0000 0.0090 100.0000
23455 0.0000 0.0000 0.0090 100.0000
26974 0.0000 0.0000 0.0090 100.0000
31020 0.0000 0.0000 0.0090 100.0000
35673 0.0000 0.0000 0.0060 100.0000
41024 0.0000 0.0000 0.0020 100.0000
47177 0.0000 0.0000 0.0000 100.0000
54254 0.0000 0.0000 0.0000 100.0000
62392 0.0000 0.0000 0.0000 100.0000
71751 0.0000 0.0000 0.0000 100.0000
82514 0.0000 0.0000 0.0000 100.0000
94891 0.0000 0.0000 0.0000 100.0000
