size frac_at_least
1 100.0000
2 33.2632
3 15.7400
4 9.3649
5 6.2695
6 4.6193
7 3.5976
8 2.9487
9 2.4978
10 2.1735
11 1.9420
12 1.7498
13 1.6104
14 1.4849
15 1.3720
16 1.2770
17 1.1993
18 1.1300
19 1.0634
20 1.0179
21 0.9765
22 0.9268
23 0.8904
24 0.8548
25 0.8180
26 0.7744
27 0.7423
28 0.7074
29 0.6722
30 0.6400
31 0.6121
32 0.5838
33 0.5531
34 0.5283
35 0.5030
36 0.4823
37 0.4613
38 0.4402
39 0.4203
40 0.3958
41 0.3740
42 0.3617
43 0.3418
44 0.3246
45 0.3124
46 0.2944
47 0.2787
48 0.2653
49 0.2519
50 0.2415
51 0.2312
52 0.2205
53 0.2090
54 0.1975
55 0.1903
56 0.1818
57 0.1769
58 0.1700
59 0.1638
60 0.1569
61 0.1508
62 0.1409
63 0.1370
64 0.1309
65 0.1248
66 0.1213
67 0.1156
68 0.1141
69 0.1091
70 0.1030
71 0.0980
72 0.0938
73 0.0896
74 0.0865
75 0.0831
76 0.0796
77 0.0769
78 0.0731
79 0.0689
80 0.0643
81 0.0612
82 0.0586
83 0.0559
84 0.0551
85 0.0521
86 0.0501
87 0.0486
88 0.0452
89 0.0425
90 0.0406
91 0.0390
92 0.0375
93 0.0356
94 0.0337
95 0.0318
96 0.0306
97 0.0302
98 0.0287
100 0.0276
101 0.0256
102 0.0249
103 0.0245
104 0.0241
106 0.0237
108 0.0234
109 0.0226
111 0.0222
112 0.0211
113 0.0203
114 0.0199
116 0.0195
118 0.0188
123 0.0184
129 0.0180
130 0.0172
131 0.0168
132 0.0161
133 0.0157
134 0.0149
135 0.0145
138 0.0138
139 0.0134
143 0.0130
144 0.0126
145 0.0122
147 0.0119
154 0.0115
155 0.0111
160 0.0107
164 0.0103
165 0.0100
178 0.0096
197 0.0092
198 0.0088
223 0.0084
232 0.0080
239 0.0077
241 0.0073
254 0.0069
341 0.0065
348 0.0061
522 0.0057
563 0.0054
655 0.0050
740 0.0046
778 0.0042
803 0.0038
835 0.0034
859 0.0031
1111 0.0027
4930 0.0023
4960 0.0019
4997 0.0015
5029 0.0011
5065 0.0008
5077 0.0004
